CANAN-Çevik-1030522093-3,999-2-1-4-K
CUMAALİ-Aydan-1030521034-3,902-245-59-4-E
BERFİN-Öztuna-1030521542-3,901-246-60-4-K
AYÇA-Ilıcalı-1030521325-3,898-254-61-4-K
HÜMEYRA-Karadaş-1030520260-3,895-262-62-4-K
AYŞE-Kılıççı-1030521901-3,895-263-63-4-K
CAN-Sinanoğlu-1030521579-3,894-265-64-4-E
FAİK-Kasapoğlu-1030521928-3,891-271-65-4-E
ILGIN-Uca-1030520309-3,89-274-66-4-K
VEYSEL-Tekand-1030520534-3,89-275-67-4-E
ECENUR-Akgül-1030521079-3,89-276-68-4-K
FAHRİ-Ertürk-1030521992-3,888-281-69-4-E
HALDUN-Bakırcıoğlu-1030520370-3,887-282-70-4-E
KÜBRA-Alpuğan-1030521798-3,885-290-71-4-K
KALENDER-Pektemek-1030522312-3,885-291-72-4-E
ŞAHİN-Alnıaçık-1030520383-3,878-307-73-4-E
ÖZGÜR-Akaydın-1030522268-3,878-308-74-4-E
UĞUR-Mayhoş-1030522185-3,876-311-75-4-E
ENES-Aşıkoğlu-1030522084-3,872-318-76-4-E
ÇİLENAY-Tokgöz-1030522108-3,872-319-77-4-K
FAZLI-Topaloğlu-1030522130-3,872-320-78-4-E
ERKAN-Özdoğan-1030521616-3,871-323-79-4-E
GONCA-Erkekli-1030520243-3,869-328-80-4-K
CANAN-Yılmazer-1030520361-3,869-329-81-4-K
CEREN-Okumuş-1030521105-3,867-331-82-4-K
DESTAN-Babacan-1030520022-3,86-345-83-4-K
HABİBE-Ekici-1030520304-3,858-353-84-4-K
DİLBERAYELA-Demirbaş-1030521388-3,858-354-85-4-K
ASLIHAN-Özkök -1030520268-3,857-358-86-4-K
MAHMUT-Tokatlıoğlu-1030520584-3,857-359-87-4-E
HAZAN-Atakol-1030521525-3,857-360-88-4-K
ÇAĞRI-Erberk-1030520046-3,853-371-89-4-E
CANSEL-Tahincioğlu-1030521645-3,851-375-90-4-K
UĞUR-Sinanoğlu-1030520953-3,849-380-91-4-E
UTKU-Özbey-1030522376-3,843-394-92-4-E
RAMAZAN-Ağaoğlu-1030521863-3,841-397-93-4-E
BÜŞRA-Çatalbaş-1030520912-3,839-400-94-4-K
FATİH-Poyrazoğlu-1030521361-3,838-403-95-4-E
ÖMER-Süleymanoğlu-1030521063-3,834-409-96-4-E
İBRAHİM-Mertoğlu-1030520559-3,829-419-97-4-E
HALE-Akar -1030521911-3,827-421-98-4-K
ASLIM-Kahveci-1030521236-3,826-424-99-4-K
VOLKAN-Tanrıkulu-1030520217-3,822-434-100-4-E
HİLAL-Dalkıran-1030521622-3,822-435-101-4-K
LEYLA-Egeli-1030522422-3,821-439-102-4-K
GÜLÇİN-Tüzün-1030520961-3,82-441-103-4-K
RECEP-Sadıklar-1030522156-3,818-447-104-4-E
MAHMUT-Alnıaçık-1030521292-3,817-453-105-4-E
RABİA-Beşerler-1030521011-3,815-455-106-4-K
EMİNE-Çamdalı-1030521732-3,815-456-107-4-K
SİNEM-Alyanak-1030521612-3,812-462-108-4-K
METEHAN-Barbarosoğlu-1030521101-3,811-467-109-4-E
LEYLA-Doğan -1030521253-3,81-471-110-4-K
KADİR-Mayhoş-1030521254-3,808-479-111-4-E
ÇİCEK-Babacan-1030520807-3,806-480-112-4-K
HALDUN-Tahincioğlu-1030520452-3,804-484-113-4-E
HAMZA-Erbulak-1030521608-3,802-491-114-4-E
GÜL-Ayaydın-1030521676-3,802-492-115-4-K
NERGİS-Sinanoğlu-1030521618-3,8-496-116-4-K
HÜSEYİN-Özdoğan-1030521837-3,8-497-117-4-E
YÜSRA-Elçiboğa-1030520777-3,799-500-118-4-K
ÖZGÜL-Ilıcalı-1030520463-3,798-504-119-4-K
UĞUR-Tokatlıoğlu-1030520486-3,798-505-120-4-E
SEMA-Yetkiner-1030520794-3,797-506-121-4-K
RÜMEYSA-Hamzaoğlu-1030522232-3,796-509-122-4-K
İSMAİL-Bademci-1030521545-3,794-514-123-4-E
HİLMİ-Çağıran-1030520661-3,793-518-124-4-E
FAZİLET-Arıcan-1030520356-3,791-522-125-4-K
CUMA-Hakyemez-1030521373-3,789-526-126-4-E
SEYİT-Numanoğlu-1030522010-3,789-527-127-4-E
FAHRİ-Çapanoğlu-1030520401-3,788-530-128-4-E
KALENDER-Karadaş-1030520198-3,787-534-129-4-E
RECEP-Sadıklar-1030520951-3,785-541-130-4-E
ŞEYMANUR-Kurutluoğlu-1030521961-3,782-547-131-4-K
ÇAĞRI-Taşlı-1030522052-3,781-550-132-4-E
CEYLAN-Koyuncu-1030521027-3,779-554-133-4-K
HİLMİ-Sinanoğlu-1030521348-3,779-555-134-4-E
SELÇUK-Yılmazer-1030520240-3,778-561-135-4-E
BEGÜM-Mayhoş-1030520042-3,777-563-136-4-K
ONUR-Doğan -1030521250-3,773-569-137-4-E
ÖMER-Elmastaşoğlu-1030521531-3,773-570-138-4-E
MELİKE-Türkyılmaz-1030521802-3,77-574-139-4-K
MAHMUT-Arslanoğlu-1030521458-3,769-576-140-4-E
CİVAN-Bakırcıoğlu-1030521647-3,769-577-141-4-E
HÜSEYİN-Tüzün-1030521624-3,767-581-142-4-E
VEYSEL-Velioğlu-1030520469-3,764-587-143-4-E
HALDUN-Yalçın-1030521892-3,763-588-144-4-E
MÜCAHİD-Adal-1030522199-3,762-590-145-4-E
YELİZ-Korol-1030522350-3,761-595-146-4-K
SELİM-Tokatlıoğlu-1030520786-3,758-599-147-4-E
ECEM-Özdoğan-1030521449-3,758-600-148-4-K
ALPEREN-Akgül-1030520068-3,757-602-149-4-E
SENEM-Velioğlu-1030520208-3,755-609-150-4-K
HALİL-Erkekli-1030520544-3,753-616-151-4-E
ÇİLENAY-Yetkiner-1030520679-3,753-617-152-4-K
MÜGE-Balaban-1030520450-3,751-622-153-4-K
AYŞEGÜL-Koç-1030520766-3,75-624-154-4-K
CANER-Çağıran-1030520791-3,748-628-155-4-E
ERSİN-Koçyiğit-1030521359-3,748-629-156-4-E
GÜNAY-Beşok-1030521141-3,747-633-157-4-K
KEMAL-Arslanoğlu-1030521165-3,745-636-158-4-E
HAMZA-Oraloğlu-1030521491-3,745-637-159-4-E
CAFE-Atakol-1030521775-3,745-638-160-4-E
NAZİK-Egeli-1030520278-3,743-641-161-4-K
NECLA-Karaböcek-1030521448-3,741-644-162-4-K
RUKİYE-Küçükler-1030520233-3,737-655-163-4-K
YUNUSHAN-Ekici-1030520372-3,732-665-164-4-E
HASAN-Topaloğlu-1030520172-3,729-671-165-4-E
TAYFUN-Ilıcalı-1030520296-3,729-672-166-4-E
TUNA-Babacan-1030520577-3,727-676-167-4-E
DOĞAN-Tahincioğlu-1030520674-3,727-677-168-4-E
ÇETİN-Önür-1030520315-3,726-680-169-4-E
OKTAY-Yorulmaz-1030521630-3,718-694-170-4-E
UMUT-Kunt-1030520290-3,717-697-171-4-E
RAMAZAN-Arıcan-1030520699-3,717-698-172-4-E
TOPRAK-Kunt-1030520530-3,716-700-173-4-E
ŞULE-Sandalcı-1030520487-3,715-702-174-4-K
İLKNUR-Atan-1030522172-3,715-703-175-4-K
SEZER-Yetkiner-1030521117-3,714-705-176-4-E
ESAT-Hamzaoğlu-1030520306-3,713-711-177-4-E
VEYSEL-Topaloğlu-1030521895-3,713-712-178-4-E
AYŞE-Arıcan-1030520049-3,712-715-179-4-K
FİKRET-Kurutluoğlu-1030520820-3,71-718-180-4-E
GAMZE-Yıldırım -1030521581-3,704-730-181-4-K
RUKİYE-Dizdar -1030520138-3,698-742-182-4-K
FAZİLET-Pekkan-1030520403-3,697-747-183-4-K
EYLÜL-Nalbantoğlu-1030520552-3,696-749-184-4-K
VEYSEL-Demirbaş-1030520660-3,694-752-185-4-E
RABİA-Öymen-1030521860-3,693-754-186-4-K
EMİNE-Bolatlı-1030522040-3,692-758-187-4-K
ALMİLA-Mayhoş-1030520002-3,689-763-188-4-K
MERVE-Düşenkalkar-1030521169-3,687-769-189-4-K
DENİZ-Abadan-1030521900-3,687-770-190-4-K
CEYLAN-Baturalp-1030521813-3,686-772-191-4-K
EMİR-Akgül-1030520783-3,684-777-192-4-E
ŞEYMANUR-Erberk-1030520753-3,682-782-193-4-K
CAFER-Akışık-1030520876-3,682-783-194-4-E
GÜLBEN-Ayaydın-1030521194-3,681-789-195-4-K
NAZİK-Hamzaoğlu-1030521439-3,677-800-196-4-K
MAHMURE-Kunter-1030520355-3,676-805-197-4-K
ÖZKAN-Ertepınar-1030520987-3,675-808-198-4-E
HANDAN-Alnıaçık-1030522464-3,673-811-199-4-K
GÖKÇEN-Özbey-1030522251-3,672-814-200-4-K
FURKAN-Tekand-1030522449-3,672-815-201-4-E
HÜSAMEDDİN-Sarıoğlu-1030520968-3,666-824-202-4-E
SIRRI-Günday-1030521623-3,665-825-203-4-E
ENİSE-Adal-1030521582-3,662-830-204-4-K
NAZİK-Kasapoğlu-1030520554-3,661-832-205-4-K
EFEKAN-Sinanoğlu-1030521170-3,66-835-206-4-E
YEŞİM-Kurutluoğlu-1030521578-3,658-841-207-4-K
ŞULE-Erdoğan-1030520585-3,657-843-208-4-K
YUNUS-Yılmazer-1030520593-3,657-844-209-4-E
DEMET-Yalçın-1030520830-3,656-848-210-4-K
İREM-Adal-1030520016-3,655-852-211-4-K
CEM-Örge-1030521083-3,655-853-212-4-E
MERVE-Aydan-1030520885-3,654-856-213-4-K
CANTEKİN-Limoncuoğlu-1030520546-3,653-860-214-4-E
HAYAT-Kunter-1030521584-3,653-861-215-4-K
BAKİ-Küçükler-1030521239-3,652-864-216-4-E
ELÇİN-Kahveci-1030522077-3,651-866-217-4-K
DAMLA-Baykam-1030520455-3,65-868-218-4-K
NAZLI-Çapanoğlu-1030522222-3,65-869-219-4-K
RÜMEYSA-Ayverdi-1030522394-3,649-872-220-4-K
HÜSEYİN-Velioğlu-1030520846-3,648-874-221-4-E
ÇİCEK-Sarıoğlu-1030520903-3,644-883-222-4-K
BAKİ-Çağıran-1030520235-3,643-888-223-4-E
SEZER-Aclan-1030521734-3,641-893-224-4-E
NAZİK-Tokgöz-1030520558-3,635-907-225-4-K
DİLEK-Gümüşpala-1030520922-3,634-911-226-4-K
HAKAN-Tuğlu-1030522144-3,634-912-227-4-E
ENİSE-Öztonga-1030520162-3,633-913-228-4-K
BURAK-Nebioğlu-1030520314-3,632-916-229-4-E
GAYE-Babaoğlu-1030520611-3,631-920-230-4-K
DUYGU-Mertoğlu-1030521803-3,631-921-231-4-K
HİLMİ-Erkekli-1030520498-3,629-924-232-4-E
ŞERİFE-Baturalp-1030520416-3,628-927-233-4-K
KADRİYE-Hamzaoğlu-1030521981-3,627-933-234-4-K
SUZAN-Ilıcalı-1030522255-3,627-934-235-4-K
HAZİM-Erkekli-1030520617-3,623-946-236-4-E
CÜNEYT-Karadaş-1030520900-3,623-947-237-4-E
SEFA-Tuğluk-1030521208-3,622-949-238-4-E
HAMZA-Çağıran-1030521391-3,622-950-239-4-E
ÇİCEK-Sarıoğlu-1030520954-3,62-957-240-4-K
HÜMEYRA-Ağaoğlu-1030522235-3,62-958-241-4-K
ALİME-Çetiner-1030520867-3,619-959-242-4-K
EYŞAN-Önür-1030520080-3,617-962-243-4-K
GÜLDESTE-Ilıcalı-1030520430-3,615-966-244-4-K
ÇAĞATAY-Dağdaş-1030521909-3,613-974-245-4-E
TAHSİN-Çağıran-1030521610-3,612-980-246-4-E
İSMAİL-Keçeci-1030520620-3,611-983-247-4-E
FAHRİ-Bolatlı-1030521158-3,608-991-248-4-E
DEMET-Özdoğan-1030522403-3,606-993-249-4-K
BİLGE-Berberoğlu-1030520565-3,605-997-250-4-K
FULYA-Doğan -1030521951-3,601-1005-251-4-K
DENİZ-Topaloğlu-1030521991-3,598-1014-252-4-E
HÜSAMEDDİN-Gümüşpala-1030521544-3,596-1017-253-4-E
ATAKAN-Velioğlu-1030521819-3,596-1018-254-4-E
SERDAR-Akyürek-1030521416-3,595-1019-255-4-E
KEREM-Akyürek-1030522447-3,595-1020-256-4-E
MERT-Pekkan-1030521068-3,594-1023-257-4-E
MAHMUT-Özkök -1030521606-3,593-1025-258-4-E
ERKAN-Karaböcek-1030521047-3,587-1034-259-4-E
SULTAN-Ekşioğlu-1030520769-3,585-1037-260-4-K
HİLAL-Baykam-1030520984-3,585-1038-261-4-K
HALE-Evliyaoğlu-1030522316-3,584-1040-262-4-K
FAHRİ-Arıcan-1030520993-3,582-1043-263-4-E
ECEM-Küçükler-1030522193-3,581-1046-264-4-K
NURAN-Akan-1030521171-3,575-1056-265-4-K
LATİFE-Sözeri-1030521404-3,572-1061-266-4-K
EREN-Kutlay-1030520020-3,571-1064-267-4-E
HALDUN-Dalkıran-1030520039-3,571-1065-268-4-E
LEYLA-Tokatlıoğlu-1030520446-3,571-1066-269-4-K
GÖKHAN-Aclan-1030521126-3,571-1067-270-4-E
TAHSİN-Çetin-1030520026-3,566-1080-271-4-E
FERİHA-Mertoğlu-1030522254-3,565-1081-272-4-K
EMRULLAH-Tanrıkulu-1030521551-3,564-1082-273-4-E
EMİNE-Çamdalı-1030522023-3,564-1083-274-4-K
İSMAİL-Aybar-1030520271-3,562-1086-275-4-E
SUZAN-Dağdaş-1030521703-3,562-1087-276-4-K
TAHA-Baykam-1030520924-3,551-1113-277-4-E
RAMAZAN-Ekici-1030521894-3,551-1114-278-4-E
YAHYA-Erginsoy-1030520393-3,543-1134-279-4-E
SEFANUR-Arslanoğlu-1030521106-3,543-1135-280-4-K
ERSİN-Özbir-1030520422-3,542-1137-281-4-E
CANAN-Kahveci-1030521864-3,541-1141-282-4-K
VEYSEL-Atakol-1030521187-3,539-1146-283-4-E
ÖZKAN-Avan-1030521057-3,538-1149-284-4-E
ABDURRAHMAN-Alpuğan-1030520051-3,536-1156-285-4-E
LEYLA-Hamzaoğlu-1030521412-3,533-1160-286-4-K
HALUK-Adan-1030520086-3,532-1166-287-4-E
YILDIZ-Topaloğlu-1030520568-3,53-1173-288-4-K
ABDULLAH-Özdoğan-1030522120-3,529-1174-289-4-E
AYFER-Barbarosoğlu-1030521536-3,521-1195-290-4-K
HİKMET-Tahincioğlu-1030520720-3,52-1197-291-4-E
ÇAĞATAY-Türkyılmaz-1030521461-3,519-1198-292-4-E
AYŞE-Çetin-1030521167-3,517-1203-293-4-K
HİLMİ-Korol-1030522080-3,517-1204-294-4-E
SEÇİL-Baykam-1030521134-3,515-1208-295-4-K
CEREN-Baturalp-1030520163-3,514-1211-296-4-K
BAHADIR-Çamdalı-1030520224-3,513-1213-297-4-E
HATİCE-Akyürek-1030521721-3,512-1218-298-4-K
MURAT-Kılıççı-1030520957-3,509-1225-299-4-E
ILGIN-Mertoğlu-1030520751-3,507-1228-300-4-K
FAZLI-Yalçın-1030521246-3,507-1229-301-4-E
AHENK-Koç-1030520985-3,506-1231-302-4-K
HASAN-Aykaç-1030521355-3,504-1234-303-4-E
ESRA-Mertoğlu-1030520634-3,501-1238-304-4-K
CEREN-Erbulak-1030521214-3,501-1239-305-4-K
ŞEYMA-Türkdoğan-1030522078-3,5-1241-306-4-K
TEVFİK-Adıvar-1030522123-3,5-1242-307-4-E
GÜL-Alnıaçık-1030520975-3,498-1251-308-4-K
ALİ-Paksüt-1030521845-3,498-1252-309-4-E
SELÇUK-Uluhan-1030522208-3,496-1261-310-4-E
SAMET-Nalbantoğlu-1030521385-3,494-1263-311-4-E
DEMET-Dizdar -1030522133-3,492-1267-312-4-K
ŞEVVAL-Akgül-1030520021-3,491-1269-313-4-K
CİVAN-Ekşioğlu-1030522475-3,491-1270-314-4-E
NECLA-Arıcan-1030520096-3,489-1273-315-4-K
DİLEK-Özbey-1030521597-3,489-1274-316-4-K
CEM-Kavaklıoğlu-1030521336-3,487-1279-317-4-E
DİLAVER-Ekici-1030520108-3,478-1295-318-4-E
CEM-Durak -1030521950-3,478-1296-319-4-E
ENES-Ekici-1030522436-3,478-1297-320-4-E
BAKİ-Koçoğlu-1030520324-3,477-1298-321-4-E
DENİZ-Akan-1030520760-3,472-1314-322-4-K
SEVGİ-Ozansoy-1030520790-3,472-1315-323-4-K
METEHAN-Akgül-1030520272-3,465-1326-324-4-E
GÜLDİDE-Balcı-1030521673-3,463-1329-325-4-K
HİLMİ-Solmaz-1030521422-3,461-1335-326-4-E
GAMZE-Elmastaşoğlu-1030520238-3,454-1354-327-4-K
ESRA-Ilıcalı-1030522101-3,453-1358-328-4-K
YEŞİM-Akay-1030522195-3,453-1359-329-4-K
FURKAN-Tuğlu-1030520483-3,449-1368-330-4-E
HALDUN-Yıldızoğlu-1030521937-3,449-1369-331-4-E
BEGÜM-Karaböcek-1030521380-3,448-1371-332-4-K
HİLMİ-Karaduman-1030522109-3,447-1372-333-4-E
RAMAZAN-Ayaydın-1030520878-3,446-1374-334-4-E
KADİR-Sadıklar-1030522298-3,446-1375-335-4-E
DİLBERAYELA-Sinanoğlu-1030521291-3,445-1378-336-4-K
DİLARA-Karaer-1030520615-3,444-1380-337-4-K
ESMA-Ozansoy-1030521557-3,444-1381-338-4-K
HİLMİ-Okur-1030521122-3,443-1383-339-4-E
GÜLÇİN-Tazegül-1030520710-3,441-1391-340-4-K
LATİFE-Velioğlu-1030521877-3,44-1393-341-4-K
MELODİ-Tekelioğlu-1030522192-3,44-1394-342-4-K
HİLAL-Ilıcalı-1030522353-3,438-1398-343-4-K
AYSU-Kılıççı-1030521056-3,437-1399-344-4-K
CEM-Bolatlı-1030521119-3,433-1409-345-4-E
SÜMEYRA-Sinanoğlu-1030521824-3,432-1412-346-4-K
TUĞRAN-Tüzün-1030522467-3,43-1416-347-4-E
EYLÜL-Çetiner-1030520210-3,429-1418-348-4-K
KEMAL-Tahincioğlu-1030520848-3,427-1420-349-4-E
AYŞE-Barbarosoğlu-1030522086-3,421-1430-350-4-K
FERDANE-Hamzaoğlu-1030522119-3,421-1431-351-4-K
FİKRET-Kaplangı-1030522166-3,42-1436-352-4-E
SEMİHA-Kumcuoğlu-1030521272-3,419-1439-353-4-K
HİLMİ-Akgül-1030522303-3,419-1440-354-4-E
BAKİ-Tazegül-1030521948-3,418-1442-355-4-E
MERVE-Ertürk-1030522465-3,416-1446-356-4-K
CANAN-Adal-1030521411-3,412-1455-357-4-K
ÖZGÜR-Kumcuoğlu-1030522042-3,411-1456-358-4-E
MEHMET-Babacan-1030520275-3,408-1465-359-4-E
HALUK-Çatalbaş-1030521192-3,407-1466-360-4-E
AYFER-Kahveci-1030521626-3,407-1467-361-4-K
RECEP-Alyanak-1030520576-3,406-1469-362-4-E
VENHAR-Nalbantoğlu-1030521136-3,406-1470-363-4-K
TAYFUR-Eronat-1030521967-3,402-1475-364-4-E
SEFANUR-Atakol-1030522484-3,402-1476-365-4-K
RUKİYE-Topaloğlu-1030520141-3,4-1479-366-4-K
NUR-Karaböcek-1030521062-3,4-1480-367-4-K
AYŞENUR-Polat-1030521307-3,4-1481-368-4-K
FAZLI-Karaduman-1030520528-3,399-1484-369-4-E
CEM-Doğan -1030520196-3,398-1486-370-4-E
NİMET-Körmükçü-1030521109-3,398-1487-371-4-K
DENİZ-Düşenkalkar-1030520747-3,393-1499-372-4-E
FULYA-Hakyemez-1030520187-3,389-1509-373-4-K
HİKMET-Erginsoy-1030520353-3,389-1510-374-4-E
SAMİ-Topçuoğlu-1030521697-3,389-1511-375-4-E
TAHSİN-Ekici-1030521397-3,388-1515-376-4-E
SAMET-Özbey-1030522057-3,387-1518-377-4-E
TAYFUR-Ertürk-1030520091-3,385-1524-378-4-E
ASLI-Akbulut-1030522343-3,385-1525-379-4-K
BAHADIR-Yalçın-1030520241-3,384-1526-380-4-E
BURHAN-Önür-1030521058-3,381-1529-381-4-E
HAKAN-Kahveci-1030521186-3,379-1537-382-4-E
İNCİ-Balaban-1030521984-3,378-1539-383-4-K
PELİN-Yıldırım -1030520907-3,376-1541-384-4-K
SEDA-Saygıner-1030521282-3,376-1542-385-4-K
KEMAL-Ozansoy-1030521217-3,375-1546-386-4-E
SULTAN-Sadıklar-1030522048-3,375-1547-387-4-K
NEŞE-Nalbantoğlu-1030520513-3,373-1553-388-4-K
CEM-Aşıkoğlu-1030520330-3,372-1557-389-4-E
PERİHAN-Tazegül-1030521084-3,367-1568-390-4-K
AYSU-Arıcan-1030522266-3,365-1573-391-4-K
METEHAN-Erberk-1030520625-3,362-1578-392-4-E
NAZİK-Demirbaş-1030520776-3,36-1584-393-4-K
NİMET-Bolatlı-1030521747-3,359-1587-394-4-K
HALİME-Sinanoğlu-1030521231-3,357-1590-395-4-K
GÜRBÜZ-Akman-1030520057-3,356-1593-396-4-E
BERAT-Topaloğlu-1030520074-3,356-1594-397-4-E
TEVFİK-Akgül-1030521017-3,353-1599-398-4-E
NURULLAH-Sarıoğlu-1030521051-3,351-1603-399-4-E
FİDAN-Hamzaoğlu-1030521558-3,35-1606-400-4-K
SEVDE-Sepetçi-1030521899-3,35-1607-401-4-K
AYŞENUR-Tokatlıoğlu-1030520891-3,349-1608-402-4-K
GÖKHAN-Özdenak-1030521751-3,349-1609-403-4-E
SEVGİ-Durmaz-1030521649-3,348-1613-404-4-K
EYÜP-Alnıaçık-1030521152-3,346-1616-405-4-E
AHENK-Samancı-1030522066-3,345-1618-406-4-K
ERTAN-Bolatlı-1030522032-3,344-1620-407-4-E
SEYYİD-Yalçın-1030522294-3,343-1624-408-4-E
DİDEM-Ekşioğlu-1030522170-3,342-1625-409-4-K
DEMET-Pekkan-1030520147-3,341-1627-410-4-K
GÜNAY-Kunter-1030521511-3,34-1628-411-4-K
ECENUR-Öymen-1030520929-3,336-1637-412-4-K
İREM-Baturalp-1030521836-3,335-1640-413-4-K
ORHAN-Keçeci-1030521706-3,334-1642-414-4-E
ASLIM-Tokatlıoğlu-1030522435-3,334-1643-415-4-K
UMUT-Tütüncü-1030520829-3,333-1647-416-4-E
SEZER-Doğan -1030520072-3,327-1660-417-4-E
ERSİN-Düşenkalkar-1030521320-3,327-1661-418-4-E
BİLGEHAN-Çetiner-1030522441-3,326-1663-419-4-K
MUSTAFA-Doğan -1030521862-3,325-1665-420-4-E
HAKAN-Kahveci-1030520119-3,321-1679-421-4-E
ESEN-Özbey-1030521064-3,321-1680-422-4-K
İNCİ-Menemencioğlu-1030521631-3,32-1683-423-4-K
ASLIM-Gönültaş-1030521309-3,319-1686-424-4-K
HAZAN-Çamdalı-1030520466-3,317-1691-425-4-K
TAHA-Pektemek-1030520337-3,316-1693-426-4-E
SİNAN-Körmükçü-1030521810-3,31-1704-427-4-E
SAİD-Hamzaoğlu-1030521595-3,309-1706-428-4-E
OKTAY-Egeli-1030521310-3,306-1713-429-4-E
GÜLNAZ-Gönültaş-1030521453-3,303-1721-430-4-K
ÇAĞRI-Aşıkoğlu-1030522056-3,302-1725-431-4-E
DİCLE-Türkdoğan-1030521727-3,3-1729-432-4-K
RAMAZAN-Topaloğlu-1030521277-3,294-1739-433-4-E
DİDEM-Ertepınar-1030521829-3,294-1740-434-4-K
PELİN-Sezek-1030520065-3,293-1743-435-4-K
NEHİR-Kılıççı-1030520223-3,291-1746-436-4-K
İBRAHİM-Özberk-1030520690-3,29-1750-437-4-E
ÇAĞATAY-Koçyiğit-1030521657-3,29-1751-438-4-E
İREM-Topçuoğlu-1030520025-3,289-1756-439-4-K
ELİF-Akman-1030520692-3,287-1760-440-4-K
ADİLE-Çağıran-1030521351-3,28-1770-441-4-K
İBRAHİM-Arıcan-1030520613-3,277-1775-442-4-E
FAHRİ-Erez-1030521410-3,277-1776-443-4-E
İLKNUR-Tekand-1030521497-3,277-1777-444-4-K
DİLARA-Durak -1030521086-3,276-1783-445-4-K
ÇİLENAY-Kunter-1030520635-3,275-1787-446-4-K
TUNA-Öymen-1030522307-3,275-1788-447-4-E
SUZAN-Egeli-1030520061-3,274-1789-448-4-K
GÖKHAN-Mertoğlu-1030521973-3,274-1790-449-4-E
TALHA-Karaduman-1030520676-3,273-1795-450-4-E
MÜGE-Sandalcı-1030522337-3,271-1799-451-4-K
İZZET-Arıcan-1030520637-3,266-1810-452-4-E
CEYDA-Kahveci-1030522157-3,266-1811-453-4-K
ÖZKAN-Okumuş-1030520099-3,264-1818-454-4-E
