SEMA-Sözeri-1030526724-3,997-9-1-2-K
SULTAN-Akbulut-1030526220-3,457-1349-347-2-K
EMRAH-Erez-1030526677-3,457-1350-348-2-E
BERRE-Bolatlı-1030525147-3,455-1352-349-2-K
DENİZ-Türkyılmaz-1030525924-3,455-1353-350-2-E
CANSU-Tazegül-1030526668-3,454-1355-351-2-K
FİKRET-Yetkiner-1030525566-3,443-1385-352-2-E
RABİA-Babaoğlu-1030527358-3,439-1396-353-2-K
HAKAN-Pektemek-1030526304-3,437-1401-354-2-E
GÜLBEN-Avan-1030527223-3,437-1402-355-2-K
ALPEREN-Sinanoğlu-1030526125-3,43-1417-356-2-E
YAHYA-Koç-1030525394-3,428-1419-357-2-E
HÜSAMEDDİN-Kutlay-1030526717-3,427-1421-358-2-E
EYŞAN-Çapanoğlu-1030526320-3,426-1423-359-2-K
FİLİZ-Duygulu-1030526859-3,426-1424-360-2-K
MERT-Erkekli-1030525062-3,422-1429-361-2-E
SEFA-Doğan -1030527450-3,419-1441-362-2-E
ŞEYMANUR-Topçuoğlu-1030526741-3,418-1443-363-2-K
EMİNE-Ayverdi-1030525445-3,417-1445-364-2-K
NERGİS-Sinanoğlu-1030525488-3,416-1448-365-2-K
SEZER-Alyanak-1030527273-3,416-1449-366-2-E
UTKU-Tokgöz-1030525061-3,411-1457-367-2-E
MUHAMMED-Tokatlıoğlu-1030526550-3,411-1458-368-2-E
MECNUN-Karadaş-1030525564-3,41-1459-369-2-E
SİNAN-Yılmazer-1030526345-3,41-1460-370-2-E
MİNE-Erdoğan-1030527406-3,41-1461-371-2-K
FİDAN-Arıcan-1030525861-3,409-1464-372-2-K
EYÜP-Adan-1030525921-3,405-1472-373-2-E
ENİSE-Tazegül-1030525342-3,402-1478-374-2-K
BERRE-Tekand-1030526484-3,397-1491-375-2-K
CANTEKİN-Kıraç -1030525698-3,396-1492-376-2-E
BUĞRA-Erez-1030526671-3,395-1494-377-2-E
UTKU-Akbulut-1030526096-3,389-1514-378-2-E
NEŞE-Özbey-1030526398-3,388-1517-379-2-K
GÜLNİHAL-Ilıcalı-1030525886-3,387-1519-380-2-K
BURAK-Egeli-1030525189-3,383-1527-381-2-E
ATAKAN-Avan-1030527277-3,383-1528-382-2-E
CAFE-Çamdalı-1030526444-3,381-1531-383-2-E
SEVGİ-Kumcuoğlu-1030527169-3,381-1532-384-2-K
HALDUN-Hakyemez-1030527226-3,376-1544-385-2-E
HALDUN-Ertürk-1030526468-3,374-1551-386-2-E
EMİNE-Tuğlu-1030526755-3,374-1552-387-2-K
HANDAN-Karabulut-1030527339-3,373-1554-388-2-K
FERİHA-Yılmazer-1030525286-3,372-1559-389-2-K
CANSU-Tokatlıoğlu-1030526342-3,371-1563-390-2-K
AYŞEGÜL-Akay-1030525567-3,37-1565-391-2-K
UĞUR-Toraman-1030526623-3,368-1566-392-2-E
ADEM-Koyuncu-1030527469-3,368-1567-393-2-E
ERTUĞRUL-Türkdoğan-1030525902-3,367-1570-394-2-E
KALENDER-Kahveci-1030525976-3,366-1571-395-2-E
SELİM-Arslanoğlu-1030526972-3,366-1572-396-2-E
AYÇA-Karadaş-1030526067-3,364-1575-397-2-K
HALE-Öymen-1030526038-3,357-1591-398-2-K
FAZLI-Kaya -1030527361-3,352-1602-399-2-E
KEREM-Kunt-1030527499-3,351-1605-400-2-E
HASAN-Baturalp-1030525840-3,347-1615-401-2-E
AHENK-Kavaklıoğlu-1030526031-3,345-1619-402-2-K
İLAYDA-Tokatlıoğlu-1030525233-3,342-1626-403-2-K
CAFE-Özgörkey-1030526081-3,34-1630-404-2-E
MEHTAP-Önür-1030526431-3,339-1632-405-2-K
ONUR-Öymen-1030526498-3,339-1633-406-2-E
TEVFİK-Samancı-1030526610-3,336-1638-407-2-E
YASEMİN-Akal-1030526883-3,331-1650-408-2-K
MELİSA-Türkyılmaz-1030525084-3,33-1653-409-2-K
TAYFUN-Okumuş-1030525931-3,33-1654-410-2-E
ŞEVVAL-Öztonga-1030526998-3,33-1655-411-2-K
CEM-Dalkıran-1030526567-3,327-1662-412-2-E
VEYSEL-Barbarosoğlu-1030525163-3,324-1670-413-2-E
AYŞE-Özbey-1030526989-3,324-1671-414-2-K
HÜSAMEDDİN-Akar -1030525085-3,323-1672-415-2-E
EFE-Çamdalı-1030526515-3,323-1673-416-2-E
FAZLI-Demirel-1030527387-3,323-1674-417-2-E
BERRE-Yalçın-1030526651-3,322-1678-418-2-K
EFE-Başoğlu-1030526955-3,318-1690-419-2-E
FULYA-Kıraç -1030526938-3,312-1701-420-2-K
KAAN-Nalbantoğlu-1030525858-3,309-1707-421-2-E
RABİA-Keseroğlu-1030525210-3,307-1710-422-2-K
İBRAHİM-Ertürk-1030526278-3,307-1711-423-2-E
MECNUN-Okur-1030525514-3,306-1716-424-2-E
GÖKHAN-Özkara-1030526432-3,305-1717-425-2-E
UĞUR-Dağlaroğlu-1030525897-3,304-1718-426-2-E
CEYLİN-Biçer-1030525972-3,304-1719-427-2-K
İREM-Ertürk-1030527343-3,304-1720-428-2-K
SEDA-Dağlaroğlu-1030525118-3,303-1723-429-2-K
FAZİLET-Sezek-1030526079-3,301-1726-430-2-K
ESRA-Limoncuoğlu-1030526832-3,3-1730-431-2-K
GAYE-Babacan-1030527435-3,299-1732-432-2-K
GAYE-Aclan-1030525350-3,296-1736-433-2-K
HALDUN-Atakol-1030526306-3,295-1737-434-2-E
AHENK-Akay-1030526385-3,295-1738-435-2-K
EMRE-Yıldırım -1030526801-3,294-1742-436-2-E
EFEKAN-Tütüncü-1030526821-3,29-1754-437-2-E
SEVGİ-Kutlay-1030526035-3,289-1758-438-2-K
FURKAN-Beşerler-1030527143-3,288-1759-439-2-E
PERİHAN-Solmaz-1030525154-3,287-1761-440-2-K
ÖZKAN-Tuğlu-1030525168-3,287-1762-441-2-E
SERGEN-Tazegül-1030525119-3,285-1764-442-2-E
LATİFE-Kurutluoğlu-1030526869-3,281-1768-443-2-K
TUĞÇE-Kumcuoğlu-1030525053-3,28-1771-444-2-K
FAHRİ-Pekkan-1030527458-3,28-1772-445-2-E
ORHAN-Sinanoğlu-1030525288-3,277-1780-446-2-E
MEMDUH-Akyüz-1030526986-3,277-1781-447-2-E
KÜRŞAD-Polat-1030526047-3,276-1785-448-2-E
ŞERİFE-Akgül-1030526394-3,276-1786-449-2-K
NAZİK-Tokatlıoğlu-1030525686-3,274-1792-450-2-K
AYFER-Tuğlu-1030526023-3,274-1793-451-2-K
ALPEREN-Erbulak-1030525743-3,273-1796-452-2-E
GÖKÇE-Ertepınar-1030526127-3,271-1802-453-2-K
RESUL-Önür-1030526732-3,27-1803-454-2-E
SEVGİ-Aybar-1030526795-3,269-1805-455-2-K
BURAK-Baykam-1030525291-3,267-1809-456-2-E
AHU-Poçan-1030525432-3,265-1815-457-2-K
FAZIL-Kıraç -1030525641-3,265-1816-458-2-E
