GAMZE-Özbir-1030524731-4-1-1-3-K
CANAN-Çevik-1030522093-3,999-2-1-4-K
MELEK-Hamzaoğlu-1030525077-3,956-107-26-2-K
CANSEL-Akay-1030529072-3,956-108-29-1-K
HATİCE-Çetiner-1030521979-3,955-109-23-4-K
MELODİ-Akyürek-1030525832-3,955-110-27-2-K
AYFER-Nalbantoğlu-1030527283-3,954-113-30-2-K
FEYZA-Balcı-1030524806-3,952-117-34-3-K
DESTAN-Sandalcı-1030528365-3,95-122-33-1-K
DİLARA-Tekand-1030526002-3,948-126-33-2-K
GÜL-Avan-1030528622-3,948-127-35-1-K
HANDAN-Kavaklıoğlu-1030520436-3,947-128-26-4-K
EDA-Günday-1030523767-3,947-129-35-3-K
MAHMURE-Tüzün-1030526463-3,947-131-35-2-K
MERAL-Özbey-1030526708-3,947-132-36-2-K
FEYZA-Kocabıyık-1030522547-3,946-133-36-3-K
GAYE-Akgül-1030523033-3,946-135-38-3-K
ESMA-Ağaoğlu-1030520084-3,945-136-27-4-K
GÜLÇİN-Erbulak-1030522267-3,945-137-28-4-K
SEMA-Adal-1030523380-3,945-138-39-3-K
NAZİFE-Küçükler-1030520589-3,944-139-29-4-K
LATİFE-Eronat-1030524652-3,944-140-40-3-K
GÖNÜL-Ertürk-1030523301-3,943-142-41-3-K
ŞEYMANUR-Mayhoş-1030521338-3,941-145-32-4-K
AHSEN-Öztuna-1030523104-3,941-147-42-3-K
ESRA-Tekand-1030524877-3,941-148-43-3-K
İLYA-Hakyemez-1030521387-3,94-149-34-4-K
NERGİS-Akyüz-1030524171-3,94-151-45-3-K
DEMET-Karaböcek-1030524351-3,94-152-46-3-K
NAZLI-Tokatlıoğlu-1030520001-3,939-153-35-4-K
HATİCE-Aclan-1030521285-3,939-154-36-4-K
SÜMEYRA-Arslanoğlu-1030522740-3,939-156-48-3-K
YILDIZ-Erkekli-1030521719-3,937-159-37-4-K
YELİZ-Kıraç -1030523523-3,937-160-49-3-K
NEHİR-Gümüşpala-1030525296-3,937-161-38-2-K
GÖNÜL-Hakyemez-1030528144-3,937-162-38-1-K
EYLÜL-Alnıaçık-1030526704-3,936-163-39-2-K
İLKNUR-Erdoğan-1030523115-3,935-165-50-3-K
MELODİ-Baykam-1030523214-3,935-166-51-3-K
ASLI-Yıldırım -1030521399-3,934-167-39-4-K
NURAN-Tunçeri-1030529645-3,934-169-39-1-K
GÖKÇEN-Özdoğan-1030524069-3,932-171-52-3-K
DENİZ-Kahveci-1030525835-3,93-173-41-2-K
NEŞE-Pektemek-1030520126-3,929-174-41-4-K
GÖZDE-Elmastaşoğlu-1030521077-3,929-175-42-4-K
KÜBRA-Çetin-1030522653-3,929-177-54-3-K
YÜSRA-Çetiner-1030525010-3,928-181-43-2-K
GONCA-Arslanoğlu-1030525453-3,927-183-44-2-K
AHU-Çatalbaş-1030521166-3,926-184-45-4-K
FAZİLET-Akay-1030521750-3,925-186-46-4-K
İPEK-Eronat-1030525536-3,925-190-46-2-K
FEYZA-Aybar-1030526021-3,925-191-47-2-K
CEYLAN-Arslanoğlu-1030522836-3,923-195-59-3-K
AYLİN-Ekşioğlu-1030521016-3,922-196-47-4-K
AYŞE-Doğan -1030520334-3,918-201-49-4-K
LEYLA-Kurutluoğlu-1030524787-3,917-203-62-3-K
HATİCE-Düşenkalkar-1030525025-3,917-204-49-2-K
ÇİCEK-Polat-1030525248-3,917-205-50-2-K
SÜMEYRA-Çevik-1030522106-3,916-206-51-4-K
NAZ-Akbulut-1030522997-3,916-207-63-3-K
DİCLE-Ekşioğlu-1030528342-3,916-208-44-1-K
SUZAN-Karadaş-1030528569-3,916-209-45-1-K
FEYZA-Eronat-1030527558-3,913-217-48-1-K
GÜLDESTE-Erkekli-1030524106-3,912-218-65-3-K
BEGÜM-Tunçeri-1030524684-3,912-219-66-3-K
CANSEL-Gönültaş-1030525568-3,911-221-52-2-K
GÜLBEN-Küçükler-1030520036-3,91-223-55-4-K
GÖNÜL-Bakırcıoğlu-1030527857-3,91-224-51-1-K
ÇİLENAY-Hamzaoğlu-1030525709-3,908-226-53-2-K
BİLGEHAN-Adal-1030529772-3,908-228-52-1-K
ESRA-Akal-1030524360-3,907-229-67-3-K
SULTAN-Özkök -1030521677-3,906-231-57-4-K
NAZİK-Karaböcek-1030527463-3,906-234-57-2-K
ŞEVVAL-Doğan -1030528599-3,906-235-53-1-K
GÜL-Arslanoğlu-1030528777-3,904-239-55-1-K
BERFİN-Öztuna-1030521542-3,901-246-60-4-K
DAMLA-Tuğlu-1030525637-3,901-248-59-2-K
SENEM-Karaduman-1030526154-3,9-250-60-2-K
AYÇA-Ilıcalı-1030521325-3,898-254-61-4-K
MELİKE-Adal-1030526877-3,898-255-63-2-K
MEHTAP-Egeli-1030529383-3,898-256-61-1-K
ŞEYDA-Özbey-1030529999-3,898-257-62-1-K
SEMİHA-Süleymanoğlu-1030524144-3,896-260-73-3-K
SEVGİ-Aşıkoğlu-1030528294-3,896-261-63-1-K
HÜMEYRA-Karadaş-1030520260-3,895-262-62-4-K
AYŞE-Kılıççı-1030521901-3,895-263-63-4-K
BUSE-Kahveci-1030523017-3,894-266-74-3-K
FİLİZ-Arıcan-1030528289-3,893-270-65-1-K
NERGİS-Koç-1030523810-3,891-272-77-3-K
NAZİK-Koçyiğit-1030526953-3,891-273-66-2-K
ILGIN-Uca-1030520309-3,89-274-66-4-K
ECENUR-Akgül-1030521079-3,89-276-68-4-K
DEMET-Mayhoş-1030524679-3,89-277-78-3-K
NİHAL-Yıldızoğlu-1030528598-3,89-278-66-1-K
GONCA-Kunter-1030526706-3,889-279-67-2-K
HAYAT-Özbey-1030523117-3,887-283-79-3-K
RABİA-Yalçın-1030524295-3,887-284-80-3-K
MELODİ-Yıldırım -1030527487-3,887-286-69-2-K
BERFİN-Tanrıkulu-1030529466-3,887-287-68-1-K
SEFANUR-Akışık-1030526317-3,886-289-70-2-K
KÜBRA-Alpuğan-1030521798-3,885-290-71-4-K
MİNE-Özdenak-1030525827-3,885-292-71-2-K
AHENK-Denkel-1030525267-3,884-294-72-2-K
HİLAL-Oraloğlu-1030528749-3,884-295-70-1-K
PELİN-Taşçı-1030523697-3,883-296-82-3-K
SÜHEYLA-Yılmazer-1030526459-3,883-297-73-2-K
DİLAN-Sadıklar-1030527977-3,883-298-71-1-K
NEHİR-Çamdalı-1030523895-3,881-301-84-3-K
ALMİLA-Yorulmaz-1030529167-3,879-305-73-1-K
SEVİL-Hamzaoğlu-1030526645-3,878-309-76-2-K
YELİZ-Kahveci-1030523138-3,876-312-86-3-K
SÜHEYLA-Çamdalı-1030529629-3,876-313-75-1-K
GÜLDESTE-Kocabıyık-1030522797-3,875-314-87-3-K
MERAL-Köybaşı-1030528233-3,873-317-77-1-K
ÇİLENAY-Tokgöz-1030522108-3,872-319-77-4-K
CANSU-Adıvar-1030524900-3,872-321-88-3-K
HAZAN-Dizdar -1030526546-3,872-322-79-2-K
DENİZ-Akman-1030528895-3,871-324-78-1-K
SUZAN-Nebioğlu-1030522766-3,87-325-89-3-K
NUR-Korol-1030527733-3,87-326-79-1-K
GONCA-Erkekli-1030520243-3,869-328-80-4-K
CANAN-Yılmazer-1030520361-3,869-329-81-4-K
ÇİCEK-Özdenak-1030527545-3,868-330-81-1-K
CEREN-Okumuş-1030521105-3,867-331-82-4-K
GÖZDE-Ayaydın-1030527413-3,867-332-80-2-K
İNCİ-Öztuna-1030523551-3,866-333-90-3-K
RUKİYE-Yorulmaz-1030526647-3,866-335-81-2-K
DİLEK-Mayhoş-1030524948-3,861-342-94-3-K
HAYAL-Öztonga-1030525324-3,861-343-85-2-K
FAZİLET-Karaduman-1030529542-3,861-344-83-1-K
DESTAN-Babacan-1030520022-3,86-345-83-4-K
FAZİLET-Kurutluoğlu-1030522843-3,86-346-95-3-K
HABİBE-Ekici-1030520304-3,858-353-84-4-K
DİLBERAYELA-Demirbaş-1030521388-3,858-354-85-4-K
GÖZDE-Ilıcalı-1030523106-3,858-355-98-3-K
ASLIHAN-Özkök -1030520268-3,857-358-86-4-K
HAZAN-Atakol-1030521525-3,857-360-88-4-K
FERDANE-Bolatlı-1030524126-3,857-361-99-3-K
SUZAN-Kıraç -1030525901-3,857-364-89-2-K
MELİKE-Ertürk-1030529556-3,857-365-87-1-K
FAZİLET-Tütüncü-1030529777-3,857-366-88-1-K
SEVDE-Akyürek-1030522557-3,855-367-102-3-K
GONCA-Bademci-1030525591-3,855-368-90-2-K
AYŞE-Körmükçü-1030529117-3,855-370-89-1-K
NİHAL-Nalbantoğlu-1030523458-3,852-373-104-3-K
CANSEL-Tahincioğlu-1030521645-3,851-375-90-4-K
SÜMEYYE-Erkekli-1030525139-3,851-377-93-2-K
SÜMEYYE-Arıcan-1030525864-3,85-378-94-2-K
MELİSA-Çetiner-1030526617-3,85-379-95-2-K
MİRAY-Elçiboğa-1030526327-3,849-381-96-2-K
AHSEN-Tunçeri-1030523474-3,848-383-106-3-K
CANSU-Velioğlu-1030524061-3,848-384-107-3-K
HİLAL-Alnıaçık-1030524897-3,848-385-108-3-K
MERVE-Tuğlu-1030526927-3,848-386-98-2-K
BERFİN-Nebioğlu-1030525731-3,846-390-99-2-K
HALİME-Durak -1030525184-3,845-391-100-2-K
MÜGE-Evliyaoğlu-1030523617-3,841-398-111-3-K
DİLBERAYELA-Akışık-1030527771-3,841-399-93-1-K
BÜŞRA-Çatalbaş-1030520912-3,839-400-94-4-K
AYSU-Kılıççı-1030522689-3,837-404-113-3-K
ESRA-Günday-1030525672-3,837-405-103-2-K
SEDA-Mayhoş-1030529749-3,835-408-95-1-K
YÜSRA-Dalkıran-1030526461-3,833-411-104-2-K
GÜLDİDE-Doğan -1030523622-3,832-412-116-3-K
SEVİL-Dizdar -1030524220-3,831-415-117-3-K
EYŞAN-Kahveci-1030525916-3,83-418-107-2-K
HALE-Akar -1030521911-3,827-421-98-4-K
AYSU-Akışık-1030523927-3,827-422-119-3-K
ASLIM-Kahveci-1030521236-3,826-424-99-4-K
FADİME-Kılıççı-1030526005-3,825-427-110-2-K
BİLGE-Ayverdi-1030524082-3,823-431-121-3-K
NEŞE-Nalbantoğlu-1030525217-3,823-432-111-2-K
HABİBE-Avan-1030528281-3,823-433-102-1-K
HİLAL-Dalkıran-1030521622-3,822-435-101-4-K
NURAN-Sarıoğlu-1030522591-3,822-436-122-3-K
AYFER-Sarıoğlu-1030525669-3,822-438-112-2-K
LEYLA-Egeli-1030522422-3,821-439-102-4-K
ESRA-Düşenkalkar-1030524419-3,821-440-124-3-K
GÜLÇİN-Tüzün-1030520961-3,82-441-103-4-K
SEVGİ-Tokatlıoğlu-1030525130-3,82-442-113-2-K
AYŞENUR-Orbay-1030527851-3,819-446-104-1-K
GÖZDE-Karadaş-1030522566-3,818-448-125-3-K
AYŞE-Karabulut-1030523739-3,818-449-126-3-K
FERHAN-Sezek-1030526703-3,818-450-116-2-K
YASEMİN-Türkyılmaz-1030528607-3,817-454-107-1-K
RABİA-Beşerler-1030521011-3,815-455-106-4-K
EMİNE-Çamdalı-1030521732-3,815-456-107-4-K
TUĞBA-Ekici-1030525328-3,815-458-117-2-K
HABİBE-Tokatlıoğlu-1030526896-3,815-459-118-2-K
SİNEM-Alyanak-1030521612-3,812-462-108-4-K
İREM-Alnıaçık-1030523225-3,812-463-129-3-K
BEGÜM-Karaer-1030524202-3,812-464-130-3-K
ŞEYDA-Demirbaş-1030526216-3,812-465-119-2-K
DİLBERAYELA-Beşerler-1030523886-3,811-468-131-3-K
GİZEM-Tütüncü-1030525344-3,811-469-120-2-K
DERYA-Pekkan-1030526060-3,811-470-121-2-K
LEYLA-Doğan -1030521253-3,81-471-110-4-K
DİLAN-Limoncuoğlu-1030528129-3,81-473-110-1-K
DİLEK-Sarıoğlu-1030529221-3,81-474-111-1-K
ÇİCEK-Babacan-1030520807-3,806-480-112-4-K
EBRU-Arıcan-1030523769-3,804-485-136-3-K
HİLAL-Ertepınar-1030527743-3,804-487-113-1-K
SENEM-Topaloğlu-1030527486-3,803-490-127-2-K
GÜL-Ayaydın-1030521676-3,802-492-115-4-K
NERGİS-Sinanoğlu-1030521618-3,8-496-116-4-K
GÖKÇEN-Kocabıyık-1030522594-3,8-498-140-3-K
EDA-Sinanoğlu-1030527691-3,8-499-114-1-K
YÜSRA-Elçiboğa-1030520777-3,799-500-118-4-K
AYFER-Sadıklar-1030526688-3,799-501-129-2-K
GÜNAY-Elmastaşoğlu-1030528989-3,799-503-116-1-K
ÖZGÜL-Ilıcalı-1030520463-3,798-504-119-4-K
SEMA-Yetkiner-1030520794-3,797-506-121-4-K
VENHAR-Tokatlıoğlu-1030523634-3,797-507-141-3-K
RÜMEYSA-Hamzaoğlu-1030522232-3,796-509-122-4-K
EBRU-Pektemek-1030528854-3,795-512-117-1-K
DERYA-Karabulut-1030529835-3,795-513-118-1-K
ASLIHAN-Ayverdi-1030524356-3,794-515-143-3-K
ŞEYDA-Koçyiğit-1030528764-3,794-516-119-1-K
ŞEYMANUR-Kasapoğlu-1030529465-3,794-517-120-1-K
ENİSE-Beşerler-1030523368-3,792-519-144-3-K
CANAN-Adal-1030527730-3,792-521-121-1-K
FAZİLET-Arıcan-1030520356-3,791-522-125-4-K
EDA-Yalçın-1030525494-3,79-523-133-2-K
CANSU-Erbulak-1030526633-3,79-524-134-2-K
SEMA-Kılıççı-1030528775-3,786-539-124-1-K
GÜLBEN-Ayaydın-1030529415-3,786-540-125-1-K
ELİF-Sinanoğlu-1030527960-3,785-543-127-1-K
ŞEYMANUR-Kurutluoğlu-1030521961-3,782-547-131-4-K
GAYE-Akan-1030524473-3,781-551-153-3-K
CEYLAN-Koyuncu-1030521027-3,779-554-133-4-K
İLKNUR-Akgül-1030523920-3,779-557-155-3-K
ŞULE-Akbulut-1030526700-3,779-558-141-2-K
BEGÜM-Mayhoş-1030520042-3,777-563-136-4-K
MAHMURE-Polat-1030526305-3,776-565-144-2-K
SEFANUR-Sözeri-1030526423-3,776-566-145-2-K
ÇİLAY-Tokgöz-1030522875-3,775-567-156-3-K
BİLGE-Okur-1030528228-3,775-568-131-1-K
YASEMİN-Çatalbaş-1030525051-3,771-573-146-2-K
MELİKE-Türkyılmaz-1030521802-3,77-574-139-4-K
SÜMEYRA-Türkdoğan-1030522799-3,77-575-158-3-K
SEÇİL-Akışık-1030522891-3,769-578-159-3-K
GÜLNİHAL-Doğan -1030525521-3,769-579-147-2-K
HATİCE-Menemencioğlu-1030527426-3,769-580-148-2-K
HALİME-Düşenkalkar-1030524019-3,767-582-160-3-K
NAZİK-Kumcuoğlu-1030527257-3,766-583-149-2-K
YASEMİN-Çatalbaş-1030527712-3,766-584-133-1-K
NUR-Uluhan-1030524659-3,762-591-162-3-K
SEFANUR-Abadan-1030529850-3,762-594-137-1-K
YELİZ-Korol-1030522350-3,761-595-146-4-K
CEYDA-Doğan -1030522537-3,76-597-163-3-K
ECEM-Özdoğan-1030521449-3,758-600-148-4-K
DEMET-Alnıaçık-1030525606-3,758-601-152-2-K
GONCA-Özkök -1030527465-3,757-603-153-2-K
MAHMURE-Doğan -1030524481-3,756-606-165-3-K
FİLİZ-Tokgöz-1030528956-3,756-608-140-1-K
SENEM-Velioğlu-1030520208-3,755-609-150-4-K
EYŞAN-Ekici-1030524763-3,755-610-166-3-K
ESRA-Ekici-1030525485-3,755-612-156-2-K
GÜNER-Saygıner-1030523960-3,754-613-167-3-K
ÇİLAY-Topaloğlu-1030525458-3,754-614-157-2-K
FADİME-Karaböcek-1030529507-3,754-615-141-1-K
ÇİLENAY-Yetkiner-1030520679-3,753-617-152-4-K
DİLAN-Köybaşı-1030522551-3,753-618-168-3-K
MELİKE-Türkyılmaz-1030528568-3,752-620-142-1-K
GAMZE-Koç-1030529209-3,752-621-143-1-K
MÜGE-Balaban-1030520450-3,751-622-153-4-K
DEMET-Yalçın-1030526370-3,751-623-159-2-K
AYŞEGÜL-Koç-1030520766-3,75-624-154-4-K
ESRA-Akyürek-1030529039-3,75-625-144-1-K
MÜGE-Adal-1030529944-3,75-626-145-1-K
NAZİK-Tokatlıoğlu-1030526419-3,749-627-160-2-K
ASLIM-Tuğlu-1030523858-3,748-630-169-3-K
MERVE-Çetiner-1030523891-3,748-631-170-3-K
BÜŞRA-Numanoğlu-1030524142-3,748-632-171-3-K
GÜNAY-Beşok-1030521141-3,747-633-157-4-K
MİRAY-Adıvar-1030528523-3,745-639-146-1-K
NAZİK-Egeli-1030520278-3,743-641-161-4-K
ÇİLENAY-Toraman-1030525319-3,743-643-162-2-K
NECLA-Karaböcek-1030521448-3,741-644-162-4-K
DENİZ-Tuğluk-1030525643-3,741-645-163-2-K
SEMİHA-Kahveci-1030524974-3,74-647-175-3-K
ESRA-Balcı-1030526494-3,74-649-165-2-K
AYŞEGÜL-Babacan-1030526139-3,739-651-166-2-K
RUKİYE-Küçükler-1030520233-3,737-655-163-4-K
NUR-Alyanak-1030523258-3,734-661-180-3-K
HATİCE-Aşıkoğlu-1030528389-3,734-662-151-1-K
FERHAN-Mayhoş-1030524750-3,732-666-181-3-K
TUĞÇE-Orbay-1030523493-3,731-667-182-3-K
NERGİS-Akışık-1030524102-3,731-668-183-3-K
AYFER-Limoncuoğlu-1030526087-3,731-669-169-2-K
CEYDA-Ilıcalı-1030526347-3,729-673-171-2-K
YÜSRA-Pektemek-1030524041-3,728-674-184-3-K
AHU-Alyanak-1030525919-3,728-675-172-2-K
AYŞE-Keçeci-1030523381-3,727-678-185-3-K
ÇİCEK-Kunt-1030528773-3,723-686-156-1-K
YÜSRA-Kunter-1030529376-3,723-687-157-1-K
FİLİZ-Menemencioğlu-1030522577-3,72-688-186-3-K
GİZEM-Atakol-1030523013-3,72-689-187-3-K
ENİSE-Akal-1030524775-3,72-690-188-3-K
SENEM-Numanoğlu-1030523099-3,718-695-190-3-K
AYFER-Hakyemez-1030524168-3,718-696-191-3-K
FERDANE-Erkekli-1030527007-3,717-699-178-2-K
ŞULE-Sandalcı-1030520487-3,715-702-174-4-K
İLKNUR-Atan-1030522172-3,715-703-175-4-K
AHENK-Alpuğan-1030527436-3,714-707-179-2-K
MELEK-Aybar-1030527440-3,714-708-180-2-K
HATİCE-Egeli-1030529610-3,714-710-162-1-K
EDA-Ağaoğlu-1030525255-3,713-713-181-2-K
İDİL-Öymen-1030525859-3,713-714-182-2-K
AYŞE-Arıcan-1030520049-3,712-715-179-4-K
DEFNE-Velioğlu-1030523046-3,711-717-194-3-K
BİLGEHAN-Türkdoğan-1030523218-3,708-722-195-3-K
NAZİK-Uca-1030524831-3,708-723-196-3-K
DİLRUBA-Arslanoğlu-1030527050-3,708-724-183-2-K
MÜGE-Özdenak-1030527249-3,706-726-184-2-K
GAMZE-Yıldırım -1030521581-3,704-730-181-4-K
SİBEL-Biçer-1030525632-3,703-734-186-2-K
YÜSRA-Küçükler-1030528166-3,701-738-174-1-K
FADİME-Arıcan-1030529093-3,701-740-176-1-K
GÜLNİHAL-Özdenak-1030525420-3,7-741-187-2-K
RUKİYE-Dizdar -1030520138-3,698-742-182-4-K
AÇELYA-Durak -1030523925-3,698-743-198-3-K
AÇELYA-Yazıcı-1030524725-3,698-744-199-3-K
FATMA-Kurutluoğlu-1030528499-3,698-746-178-1-K
FAZİLET-Pekkan-1030520403-3,697-747-183-4-K
EYLÜL-Nalbantoğlu-1030520552-3,696-749-184-4-K
GÜLBEN-Ertepınar-1030528973-3,696-750-180-1-K
YELİZ-Korol-1030527386-3,695-751-188-2-K
SENEM-Özdoğan-1030523967-3,694-753-200-3-K
RABİA-Öymen-1030521860-3,693-754-186-4-K
ŞEYMANUR-Poyrazoğlu-1030522592-3,693-755-201-3-K
HİLAL-Akyürek-1030523734-3,693-756-202-3-K
EMİNE-Bolatlı-1030522040-3,692-758-187-4-K
NEHİR-Beşerler-1030522655-3,691-761-204-3-K
ALMİLA-Mayhoş-1030520002-3,689-763-188-4-K
ASLI-Abacı-1030522519-3,688-765-206-3-K
RUKİYE-Eronat-1030522985-3,688-766-207-3-K
MERVE-Düşenkalkar-1030521169-3,687-769-189-4-K
DENİZ-Abadan-1030521900-3,687-770-190-4-K
CEYLAN-Baturalp-1030521813-3,686-772-191-4-K
DİDEM-Çamdalı-1030523155-3,686-773-209-3-K
İREM-Mayhoş-1030523228-3,686-774-210-3-K
NELİS-Kurutluoğlu-1030528925-3,686-775-184-1-K
NAZİK-Atakol-1030528112-3,685-776-185-1-K
RÜMEYSA-Türkyılmaz-1030527026-3,683-781-193-2-K
ŞEYMANUR-Erberk-1030520753-3,682-782-193-4-K
SEVİL-Limoncuoğlu-1030525276-3,682-786-194-2-K
AYSU-Çamdalı-1030529366-3,682-788-186-1-K
GÜLBEN-Ayaydın-1030521194-3,681-789-195-4-K
İPEK-Çevik-1030529965-3,68-796-189-1-K
DİLEK-Tokatlıoğlu-1030526487-3,679-797-198-2-K
PINAR-Mertoğlu-1030525742-3,678-798-199-2-K
NAZİK-Hamzaoğlu-1030521439-3,677-800-196-4-K
NAZLI-Çamdalı-1030523454-3,677-801-216-3-K
NAZİK-Ozansoy-1030525815-3,677-803-200-2-K
MAHMURE-Kunter-1030520355-3,676-805-197-4-K
EMİNE-Önür-1030529260-3,676-807-193-1-K
HANDAN-Alnıaçık-1030522464-3,673-811-199-4-K
YILDIZ-Akan-1030527718-3,673-813-195-1-K
GÖKÇEN-Özbey-1030522251-3,672-814-200-4-K
AHU-Düşenkalkar-1030522580-3,671-817-219-3-K
HABİBE-Okumuş-1030523197-3,67-818-220-3-K
NECLA-Hamzaoğlu-1030526265-3,67-820-204-2-K
ÖZGÜL-Sadıklar-1030527212-3,67-821-205-2-K
ŞEYDA-Tunçeri-1030523154-3,668-822-221-3-K
NELİS-Doğan -1030524011-3,667-823-222-3-K
GÜLBEN-Sarıoğlu-1030523629-3,664-826-223-3-K
ENİSE-Adal-1030521582-3,662-830-204-4-K
NAZİK-Kasapoğlu-1030520554-3,661-832-205-4-K
GÖZDE-Paksüt-1030525336-3,661-833-208-2-K
BÜŞRA-Aykaç-1030526402-3,66-836-209-2-K
FERHAN-Arıcan-1030524996-3,659-839-226-3-K
GÜL-Koç-1030527726-3,659-840-199-1-K
YEŞİM-Kurutluoğlu-1030521578-3,658-841-207-4-K
ŞULE-Erdoğan-1030520585-3,657-843-208-4-K
DEMET-Keçeci-1030526949-3,657-845-211-2-K
BUSE-Topaloğlu-1030527681-3,657-846-200-1-K
DEMET-Yalçın-1030520830-3,656-848-210-4-K
DİLARA-Tuğluk-1030524662-3,656-849-227-3-K
RÜMEYSA-Abadan-1030527562-3,656-851-202-1-K
İREM-Adal-1030520016-3,655-852-211-4-K
AYŞE-Aykaç-1030523044-3,655-854-228-3-K
MERVE-Aydan-1030520885-3,654-856-213-4-K
ILGIN-Tuğlu-1030528853-3,654-859-205-1-K
HAYAT-Kunter-1030521584-3,653-861-215-4-K
YEŞİM-Topçuoğlu-1030522895-3,652-865-230-3-K
ELÇİN-Kahveci-1030522077-3,651-866-217-4-K
NURAN-Avan-1030526863-3,651-867-214-2-K
DAMLA-Baykam-1030520455-3,65-868-218-4-K
NAZLI-Çapanoğlu-1030522222-3,65-869-219-4-K
RÜMEYSA-Ayverdi-1030522394-3,649-872-220-4-K
BERRE-Öztuna-1030526065-3,649-873-216-2-K
DEMET-Yılmazer-1030525439-3,648-875-217-2-K
CANAN-Kuday-1030523544-3,647-877-231-3-K
MELODİ-Erberk-1030525814-3,647-878-219-2-K
RABİA-Okumuş-1030527258-3,645-882-222-2-K
ÇİCEK-Sarıoğlu-1030520903-3,644-883-222-4-K
NAZİK-Kavaklıoğlu-1030527700-3,643-890-210-1-K
MERAL-Tuğlu-1030523389-3,642-892-235-3-K
SEFANUR-Barbarosoğlu-1030523229-3,639-898-238-3-K
AHU-Ekşioğlu-1030523275-3,639-899-239-3-K
