GAMZE-Özbir-1030524731-4-1-1-3-K
CANSEL-Polat-1030522756-3,999-3-2-3-K
İLKNUR-Erdoğan-1030523115-3,935-165-50-3-K
MELODİ-Baykam-1030523214-3,935-166-51-3-K
GÖKÇEN-Özdoğan-1030524069-3,932-171-52-3-K
HALİT-Kunt-1030523260-3,93-172-53-3-E
KÜBRA-Çetin-1030522653-3,929-177-54-3-K
DERVİŞ-Alnıaçık-1030522710-3,928-179-55-3-E
ÇAĞRI-Özberk-1030524141-3,928-180-56-3-E
DOĞAN-Yalçın-1030524147-3,925-187-57-3-E
SAMİ-Ekici-1030524280-3,925-188-58-3-E
CEYLAN-Arslanoğlu-1030522836-3,923-195-59-3-K
CEM-Düşenkalkar-1030523473-3,922-197-60-3-E
BÜLENT-Arıcan-1030524962-3,921-199-61-3-E
LEYLA-Kurutluoğlu-1030524787-3,917-203-62-3-K
NAZ-Akbulut-1030522997-3,916-207-63-3-K
SELÇUK-Tahincioğlu-1030524268-3,913-216-64-3-E
GÜLDESTE-Erkekli-1030524106-3,912-218-65-3-K
BEGÜM-Tunçeri-1030524684-3,912-219-66-3-K
ESRA-Akal-1030524360-3,907-229-67-3-K
HALDUN-Topçuoğlu-1030523981-3,906-232-68-3-E
YUNUSHAN-Ilıcalı-1030523431-3,904-237-69-3-E
SEYYİD-Ayaydın-1030524672-3,901-247-70-3-E
TAYFUN-Pekkan-1030523098-3,9-249-71-3-E
SERDAR-Dalkıran-1030523815-3,896-259-72-3-E
SEMİHA-Süleymanoğlu-1030524144-3,896-260-73-3-K
BUSE-Kahveci-1030523017-3,894-266-74-3-K
TUNA-Yalçın-1030524025-3,894-267-75-3-E
BUĞRA-Egeli-1030523764-3,893-268-76-3-E
NERGİS-Koç-1030523810-3,891-272-77-3-K
DEMET-Mayhoş-1030524679-3,89-277-78-3-K
HAYAT-Özbey-1030523117-3,887-283-79-3-K
RABİA-Yalçın-1030524295-3,887-284-80-3-K
GÖKHAN-Çamdalı-1030524790-3,886-288-81-3-E
PELİN-Taşçı-1030523697-3,883-296-82-3-K
MUSTAFA-Aclan-1030523714-3,882-300-83-3-E
NEHİR-Çamdalı-1030523895-3,881-301-84-3-K
HAKAN-Kumcuoğlu-1030524080-3,88-302-85-3-E
YELİZ-Kahveci-1030523138-3,876-312-86-3-K
GÜLDESTE-Kocabıyık-1030522797-3,875-314-87-3-K
CANSU-Adıvar-1030524900-3,872-321-88-3-K
SUZAN-Nebioğlu-1030522766-3,87-325-89-3-K
İNCİ-Öztuna-1030523551-3,866-333-90-3-K
SERGEN-Arslanoğlu-1030524576-3,866-334-91-3-E
FAHRİ-Evliyaoğlu-1030522879-3,864-337-92-3-E
SERGEN-Korol-1030522661-3,863-339-93-3-E
DİLEK-Mayhoş-1030524948-3,861-342-94-3-K
FAZİLET-Kurutluoğlu-1030522843-3,86-346-95-3-K
BAKİ-Ilıcalı-1030523980-3,86-347-96-3-E
GÖKHAN-Özdenak-1030524501-3,86-348-97-3-E
GÖZDE-Ilıcalı-1030523106-3,858-355-98-3-K
FERDANE-Bolatlı-1030524126-3,857-361-99-3-K
UTKU-Yıldızoğlu-1030524358-3,857-362-100-3-E
HAMZA-Ertürk-1030524631-3,857-363-101-3-E
SEVDE-Akyürek-1030522557-3,855-367-102-3-K
SAMET-Orbay-1030522925-3,852-372-103-3-E
NİHAL-Nalbantoğlu-1030523458-3,852-373-104-3-K
SAİD-Biçer-1030523008-3,851-376-105-3-E
AHSEN-Tunçeri-1030523474-3,848-383-106-3-K
CANSU-Velioğlu-1030524061-3,848-384-107-3-K
HİLAL-Alnıaçık-1030524897-3,848-385-108-3-K
EYÜP-Tokatlıoğlu-1030524389-3,846-389-109-3-E
HALİL-Kavaklıoğlu-1030522614-3,843-395-110-3-E
MÜGE-Evliyaoğlu-1030523617-3,841-398-111-3-K
ONUR-Poçan-1030524359-3,839-401-112-3-E
AYSU-Kılıççı-1030522689-3,837-404-113-3-K
ENES-Kahveci-1030522620-3,836-406-114-3-E
UĞUR-Doğan -1030522920-3,835-407-115-3-E
GÜLDİDE-Doğan -1030523622-3,832-412-116-3-K
SEVİL-Dizdar -1030524220-3,831-415-117-3-K
UMUT-Kavaklıoğlu-1030523669-3,829-420-118-3-E
AYSU-Akışık-1030523927-3,827-422-119-3-K
HALİL-Akyürek-1030524086-3,827-423-120-3-E
BİLGE-Ayverdi-1030524082-3,823-431-121-3-K
NURAN-Sarıoğlu-1030522591-3,822-436-122-3-K
TALHA-Tekelioğlu-1030523282-3,822-437-123-3-E
ESRA-Düşenkalkar-1030524419-3,821-440-124-3-K
GÖZDE-Karadaş-1030522566-3,818-448-125-3-K
AYŞE-Karabulut-1030523739-3,818-449-126-3-K
CEM-Çatalbaş-1030523149-3,815-457-127-3-E
GÜRBÜZ-Kahveci-1030522767-3,813-461-128-3-E
İREM-Alnıaçık-1030523225-3,812-463-129-3-K
BEGÜM-Karaer-1030524202-3,812-464-130-3-K
DİLBERAYELA-Beşerler-1030523886-3,811-468-131-3-K
BAYRAM-Ayverdi-1030522609-3,81-472-132-3-E
CEM-Ayaydın-1030523185-3,809-475-133-3-E
ABDURRAHMAN-Adıvar-1030524174-3,809-476-134-3-E
BURAK-Taşlı-1030524176-3,806-481-135-3-E
EBRU-Arıcan-1030523769-3,804-485-136-3-K
UĞUR-Orbay-1030523760-3,803-488-137-3-E
ÇAĞRI-Akgül-1030522792-3,801-494-138-3-E
ANIL-Ozansoy-1030523628-3,801-495-139-3-E
GÖKÇEN-Kocabıyık-1030522594-3,8-498-140-3-K
VENHAR-Tokatlıoğlu-1030523634-3,797-507-141-3-K
ERSİN-Ozansoy-1030524429-3,795-510-142-3-E
ASLIHAN-Ayverdi-1030524356-3,794-515-143-3-K
ENİSE-Beşerler-1030523368-3,792-519-144-3-K
DENİZ-Tütüncü-1030523269-3,788-531-145-3-E
DOĞAN-Sinanoğlu-1030524649-3,787-535-146-3-E
SEYYİD-Özgörkey-1030524771-3,787-536-147-3-E
TAYFUN-Uluhan-1030523723-3,786-537-148-3-E
SEYİT-Babacan-1030524172-3,786-538-149-3-E
SEZER-Ekici-1030523070-3,783-545-150-3-E
İBRAHİM-Tekand-1030522628-3,782-548-151-3-E
CAFE-Alyanak-1030523645-3,782-549-152-3-E
GAYE-Akan-1030524473-3,781-551-153-3-K
SEYİT-Yıldırım -1030522834-3,779-556-154-3-E
İLKNUR-Akgül-1030523920-3,779-557-155-3-K
ÇİLAY-Tokgöz-1030522875-3,775-567-156-3-K
HASAN-Alnıaçık-1030523410-3,773-571-157-3-E
SÜMEYRA-Türkdoğan-1030522799-3,77-575-158-3-K
SEÇİL-Akışık-1030522891-3,769-578-159-3-K
HALİME-Düşenkalkar-1030524019-3,767-582-160-3-K
CANTEKİN-Baykam-1030523555-3,765-585-161-3-E
NUR-Uluhan-1030524659-3,762-591-162-3-K
CEYDA-Doğan -1030522537-3,76-597-163-3-K
BARAN-Çetin-1030523052-3,756-605-164-3-E
MAHMURE-Doğan -1030524481-3,756-606-165-3-K
EYŞAN-Ekici-1030524763-3,755-610-166-3-K
GÜNER-Saygıner-1030523960-3,754-613-167-3-K
DİLAN-Köybaşı-1030522551-3,753-618-168-3-K
ASLIM-Tuğlu-1030523858-3,748-630-169-3-K
MERVE-Çetiner-1030523891-3,748-631-170-3-K
BÜŞRA-Numanoğlu-1030524142-3,748-632-171-3-K
MEMDUH-Kahveci-1030523190-3,747-634-172-3-E
ONUR-Topçuoğlu-1030524613-3,743-642-173-3-E
SEFA-Kulaksızoğlu-1030523135-3,74-646-174-3-E
SEMİHA-Kahveci-1030524974-3,74-647-175-3-K
ÇINAR-Hakyemez-1030522955-3,738-652-176-3-E
VOLKAN-Özdoğan-1030523299-3,738-653-177-3-E
YAHYA-Özgörkey-1030522853-3,735-659-178-3-E
FAHRİ-Özbey-1030523096-3,735-660-179-3-E
NUR-Alyanak-1030523258-3,734-661-180-3-K
FERHAN-Mayhoş-1030524750-3,732-666-181-3-K
TUĞÇE-Orbay-1030523493-3,731-667-182-3-K
NERGİS-Akışık-1030524102-3,731-668-183-3-K
YÜSRA-Pektemek-1030524041-3,728-674-184-3-K
AYŞE-Keçeci-1030523381-3,727-678-185-3-K
FİLİZ-Menemencioğlu-1030522577-3,72-688-186-3-K
GİZEM-Atakol-1030523013-3,72-689-187-3-K
ENİSE-Akal-1030524775-3,72-690-188-3-K
MUSA-Poyrazoğlu-1030523897-3,719-691-189-3-E
SENEM-Numanoğlu-1030523099-3,718-695-190-3-K
AYFER-Hakyemez-1030524168-3,718-696-191-3-K
CEM-Ilıcalı-1030522694-3,714-706-192-3-E
SEYYİD-Yıldırım -1030523962-3,712-716-193-3-E
DEFNE-Velioğlu-1030523046-3,711-717-194-3-K
BİLGEHAN-Türkdoğan-1030523218-3,708-722-195-3-K
NAZİK-Uca-1030524831-3,708-723-196-3-K
CEM-Eronat-1030523390-3,705-728-197-3-E
AÇELYA-Durak -1030523925-3,698-743-198-3-K
AÇELYA-Yazıcı-1030524725-3,698-744-199-3-K
SENEM-Özdoğan-1030523967-3,694-753-200-3-K
ŞEYMANUR-Poyrazoğlu-1030522592-3,693-755-201-3-K
HİLAL-Akyürek-1030523734-3,693-756-202-3-K
VEYSEL-Bakırcıoğlu-1030523607-3,692-759-203-3-E
NEHİR-Beşerler-1030522655-3,691-761-204-3-K
EMRAH-Özkök -1030523227-3,689-764-205-3-E
ASLI-Abacı-1030522519-3,688-765-206-3-K
RUKİYE-Eronat-1030522985-3,688-766-207-3-K
MUSTAFA-Atakol-1030522896-3,687-771-208-3-E
DİDEM-Çamdalı-1030523155-3,686-773-209-3-K
İREM-Mayhoş-1030523228-3,686-774-210-3-K
ENES-Mayhoş-1030523732-3,683-779-211-3-E
ADEM-Pekkan-1030523341-3,682-784-212-3-E
CİVAN-Kaya -1030524558-3,682-785-213-3-E
DOĞAN-Alyanak-1030523262-3,681-790-214-3-E
BARAN-Evliyaoğlu-1030524926-3,681-791-215-3-E
NAZLI-Çamdalı-1030523454-3,677-801-216-3-K
CUMA-Erberk-1030523524-3,677-802-217-3-E
İZZET-Ekici-1030524627-3,673-812-218-3-E
AHU-Düşenkalkar-1030522580-3,671-817-219-3-K
HABİBE-Okumuş-1030523197-3,67-818-220-3-K
ŞEYDA-Tunçeri-1030523154-3,668-822-221-3-K
NELİS-Doğan -1030524011-3,667-823-222-3-K
GÜLBEN-Sarıoğlu-1030523629-3,664-826-223-3-K
KEMAL-Tokatlıoğlu-1030523311-3,663-828-224-3-E
HAKKI-Özkara-1030522567-3,659-838-225-3-E
FERHAN-Arıcan-1030524996-3,659-839-226-3-K
DİLARA-Tuğluk-1030524662-3,656-849-227-3-K
AYŞE-Aykaç-1030523044-3,655-854-228-3-K
TOPRAK-Kunt-1030524762-3,653-862-229-3-E
YEŞİM-Topçuoğlu-1030522895-3,652-865-230-3-K
CANAN-Kuday-1030523544-3,647-877-231-3-K
EMRULLAH-Akyüz-1030524431-3,644-884-232-3-E
İSMAİL-Atan-1030524575-3,644-885-233-3-E
HACI-Ekici-1030524436-3,643-889-234-3-E
MERAL-Tuğlu-1030523389-3,642-892-235-3-K
KADİR-Durak -1030523568-3,64-894-236-3-E
ÇINAR-Bakırcıoğlu-1030524052-3,64-895-237-3-E
SEFANUR-Barbarosoğlu-1030523229-3,639-898-238-3-K
AHU-Ekşioğlu-1030523275-3,639-899-239-3-K
NECLA-Özkara-1030523196-3,637-904-240-3-K
ÇAĞRI-Mayhoş-1030523727-3,636-905-241-3-E
CANTEKİN-Karaböcek-1030523499-3,635-908-242-3-E
AFŞIN-Bademci-1030522506-3,633-914-243-3-E
EMRULLAH-Topaloğlu-1030523890-3,632-917-244-3-E
MELİSA-Küçükler-1030523589-3,631-922-245-3-K
İSMAİL-Körmükçü-1030524654-3,63-923-246-3-E
DESTAN-Solmaz-1030523366-3,628-928-247-3-K
NURAN-Günday-1030524197-3,628-929-248-3-K
CİVAN-Koç-1030524670-3,628-930-249-3-E
AYFER-Aybar-1030523211-3,627-935-250-3-K
TAYFUR-Ayaydın-1030523487-3,627-936-251-3-E
İZZET-Sezek-1030523956-3,627-937-252-3-E
MUSA-Bolatlı-1030523459-3,624-943-253-3-E
RECEP-Saygıner-1030522757-3,621-951-254-3-E
OSMAN-Ilıcalı-1030524699-3,621-952-255-3-E
ŞULE-Aykaç-1030524910-3,618-960-256-3-K
HAZAN-Tahincioğlu-1030523934-3,617-963-257-3-K
SEVDE-Atakol-1030523255-3,615-967-258-3-K
BATUHAN-Önür-1030524565-3,615-968-259-3-E
ALİME-Kasapoğlu-1030524851-3,615-969-260-3-K
EREN-Karaer-1030524028-3,614-970-261-3-E
ECE-Tokgöz-1030523056-3,611-984-262-3-K
SAMİ-Özberk-1030523189-3,611-985-263-3-E
CİVAN-Akyüz-1030522768-3,61-987-264-3-E
ASLIM-Egeli-1030522798-3,609-988-265-3-K
SELÇUK-Düşenkalkar-1030524934-3,609-989-266-3-E
HAYAL-Akay-1030523230-3,608-992-267-3-K
SEFANUR-Abadan-1030524719-3,606-994-268-3-K
GONCA-Küçükler-1030523146-3,601-1006-269-3-K
CÜNEYT-Koçyiğit-1030524459-3,601-1007-270-3-E
SÜHEYLA-Süleymanoğlu-1030523725-3,592-1026-271-3-K
YUNUSHAN-Kılıççı-1030523608-3,591-1029-272-3-E
ERKAN-Kahveci-1030523693-3,588-1032-273-3-E
HÜSAMEDDİN-Ayverdi-1030522714-3,586-1036-274-3-E
DERVİŞ-Bakırcıoğlu-1030524355-3,584-1041-275-3-E
HALDUN-Körmükçü-1030523203-3,577-1050-276-3-E
FİKRET-Sinanoğlu-1030524967-3,576-1054-277-3-E
TEVFİK-Babacan-1030522716-3,575-1057-278-3-E
ERTAN-Adal-1030522556-3,57-1070-279-3-E
DURAN-Tekand-1030523423-3,57-1071-280-3-E
ASLIM-Kutlay-1030524151-3,568-1074-281-3-K
HÜSEYİN-Sarıoğlu-1030524187-3,568-1075-282-3-E
EMİR-Günday-1030524677-3,568-1076-283-3-E
HATİCE-Arıcan-1030524346-3,567-1077-284-3-K
SEVİL-Babacan-1030524051-3,563-1085-285-3-K
İZZET-Sarıoğlu-1030523396-3,561-1091-286-3-E
İREM-Ekşioğlu-1030523705-3,561-1092-287-3-K
GÜRBÜZ-Ertürk-1030523079-3,559-1095-288-3-E
DENİZ-Adal-1030522940-3,558-1098-289-3-E
AYÇA-Tanrıkulu-1030523342-3,558-1099-290-3-K
DESTAN-Özgörkey-1030524031-3,558-1100-291-3-K
HANDAN-Akaydın-1030522786-3,557-1104-292-3-K
MUSA-Doğan -1030524495-3,553-1107-293-3-E
ŞEYDA-Berberoğlu-1030524923-3,552-1109-294-3-K
HAZİM-Balaban-1030524033-3,551-1115-295-3-E
ABDURRAHMAN-Durmaz-1030524868-3,55-1116-296-3-E
ASLI-Paksüt-1030522845-3,549-1118-297-3-K
EMİR-Bakırcıoğlu-1030523254-3,549-1119-298-3-E
BURHAN-Baturalp-1030523268-3,549-1120-299-3-E
CÜNEYT-Topaloğlu-1030524383-3,549-1121-300-3-E
FAZLI-Akay-1030522870-3,546-1128-301-3-E
EYLÜL-Atakol-1030522820-3,545-1131-302-3-K
UMUT-Alyanak-1030523482-3,545-1132-303-3-E
DİLAVER-Kahveci-1030522849-3,542-1138-304-3-E
SEMİH-Doğan -1030524063-3,541-1142-305-3-E
AHENK-Kutlay-1030522629-3,538-1150-306-3-K
PINAR-Akyüz-1030522858-3,533-1161-307-3-K
CAFER-Nebioğlu-1030522617-3,531-1171-308-3-E
SEFANUR-Sadıklar-1030524321-3,531-1172-309-3-K
RUKİYE-Pekkan-1030523513-3,526-1177-310-3-K
OKTAY-Adıvar-1030524078-3,526-1178-311-3-E
HİKMET-Ilıcalı-1030523145-3,524-1186-312-3-E
OKTAY-Sinanoğlu-1030524076-3,523-1189-313-3-E
EMRE-Baturalp-1030523641-3,522-1191-314-3-E
MUSA-Karaduman-1030524608-3,516-1206-315-3-E
AYSU-Akbulut-1030522817-3,515-1209-316-3-K
ŞEYDA-Özbey-1030524103-3,515-1210-317-3-K
ŞEYMA-Gönültaş-1030523452-3,513-1214-318-3-K
ELÇİN-Bademci-1030523240-3,512-1219-319-3-K
HASAN-Türkdoğan-1030524029-3,511-1223-320-3-E
MELEK-Avan-1030523022-3,509-1226-321-3-K
DEFNE-Demirbaş-1030522687-3,5-1243-322-3-K
SULTAN-Sepetçi-1030523699-3,5-1244-323-3-K
ABDURRAHMAN-Tanrıkulu-1030523362-3,499-1247-324-3-E
NERGİS-Samancı-1030524766-3,499-1248-325-3-K
ŞERİFE-Çamdalı-1030522780-3,498-1253-326-3-K
FİRDEVS-Ekici-1030522992-3,498-1254-327-3-K
ORHAN-Adal-1030524455-3,497-1258-328-3-E
NİHAL-Uluhan-1030524573-3,497-1259-329-3-K
GÖNÜL-Tütüncü-1030524236-3,492-1268-330-3-K
HANDAN-Karaböcek-1030523722-3,488-1277-331-3-K
AYŞE-Ilıcalı-1030522695-3,486-1280-332-3-K
AKIN-Yıldırım -1030523511-3,485-1284-333-3-E
ÖZGÜL-Alyanak-1030524975-3,481-1290-334-3-K
AFŞIN-Kocabıyık-1030523435-3,476-1299-335-3-E
DAMLA-Bolatlı-1030524909-3,475-1304-336-3-K
MÜGE-Velioğlu-1030523790-3,471-1319-337-3-K
UĞUR-Polat-1030524503-3,468-1320-338-3-E
AŞİYAN-Ekşioğlu-1030524179-3,466-1324-339-3-K
HATİCE-Kocabıyık-1030524846-3,464-1327-340-3-K
MERVE-Hakyemez-1030522900-3,462-1330-341-3-K
GÜNER-Orbay-1030524316-3,462-1331-342-3-K
AFŞIN-Ilıcalı-1030524538-3,462-1332-343-3-E
HİLMİ-Barbarosoğlu-1030522721-3,46-1337-344-3-E
PERİHAN-Adan-1030523979-3,46-1338-345-3-K
BERFİN-Akyürek-1030524561-3,46-1339-346-3-K
DENİZ-Tahincioğlu-1030523682-3,458-1346-347-3-E
DİDEM-Velioğlu-1030523024-3,457-1348-348-3-K
AYŞE-Alpuğan-1030524958-3,453-1360-349-3-K
ELÇİN-Akışık-1030522669-3,45-1363-350-3-K
ABDURRAHMAN-Uluhan-1030522673-3,45-1364-351-3-E
HİKMET-Tokatlıoğlu-1030524807-3,449-1370-352-3-E
HAYAL-Yıldızoğlu-1030523464-3,447-1373-353-3-K
ÖZKAN-Günday-1030523028-3,444-1382-354-3-E
LATİFE-Tuğlu-1030523252-3,443-1384-355-3-K
SEZER-Tokatlıoğlu-1030523902-3,44-1395-356-3-E
ÖZGÜR-Nalbantoğlu-1030524739-3,437-1400-357-3-E
ABDURRAHMAN-Akyüz-1030524217-3,434-1406-358-3-E
FAZİLET-Duygulu-1030524814-3,434-1407-359-3-K
YUNUSHAN-Aşıkoğlu-1030522677-3,431-1414-360-3-E
MEHMET-Sezek-1030524338-3,431-1415-361-3-E
GONCA-Bakırcıoğlu-1030523896-3,425-1426-362-3-K
SULTAN-Erberk-1030524206-3,424-1428-363-3-K
MELİKE-Tahincioğlu-1030523552-3,421-1432-364-3-K
VEYSEL-Kutlay-1030524732-3,421-1433-365-3-E
BURHAN-Akaydın-1030524883-3,421-1434-366-3-E
SALİH-Kunt-1030522754-3,42-1437-367-3-E
HAKKI-Ertürk-1030523030-3,42-1438-368-3-E
CEM-Koçoğlu-1030524734-3,417-1444-369-3-E
GÜLÇİN-Akbulut-1030523515-3,416-1447-370-3-K
DURAN-Özkök -1030524114-3,413-1454-371-3-E
ERSİN-Tuğlu-1030524269-3,409-1462-372-3-E
EKREM-Çetin-1030524572-3,409-1463-373-3-E
ECEM-Ertürk-1030523696-3,407-1468-374-3-K
NAZİK-Sarıoğlu-1030524340-3,406-1471-375-3-K
İLYA-Tekelioğlu-1030523207-3,402-1477-376-3-K
ECEM-Doğan -1030523422-3,4-1482-377-3-K
HATİCE-Koçyiğit-1030522942-3,398-1488-378-3-K
CEYLAN-Numanoğlu-1030524480-3,398-1489-379-3-K
BUSE-Biçer-1030524740-3,398-1490-380-3-K
CÜNEYT-Kavaklıoğlu-1030524461-3,395-1493-381-3-E
YUNUS-Kunt-1030524879-3,394-1497-382-3-E
FURKAN-Günday-1030524964-3,391-1504-383-3-E
VEHBİ-Taşçı-1030523249-3,389-1512-384-3-E
HANDE-Akışık-1030524718-3,389-1513-385-3-K
SAİD-Velioğlu-1030524444-3,388-1516-386-3-E
FATİH-Akar -1030524159-3,386-1522-387-3-E
EKREM-Kumcuoğlu-1030524707-3,386-1523-388-3-E
İBRAHİM-Öymen-1030524109-3,381-1530-389-3-E
İSMAİL-Karaduman-1030522867-3,38-1535-390-3-E
EYŞAN-Tanrıkulu-1030524489-3,38-1536-391-3-K
EREN-Aclan-1030524812-3,376-1543-392-3-E
ERKAN-Durak -1030524195-3,375-1548-393-3-E
GONCA-Pekkan-1030524438-3,374-1550-394-3-K
HALE-Bakırcıoğlu-1030522513-3,372-1558-395-3-K
SEDA-Durmaz-1030524840-3,371-1562-396-3-K
HALDUN-Akyürek-1030522902-3,367-1569-397-3-E
GONCA-Kuzucu-1030523215-3,363-1576-398-3-K
SEFANUR-Tunaboylu-1030524070-3,363-1577-399-3-K
EFEKAN-Doğan -1030522558-3,362-1579-400-3-E
RAMAZAN-Polat-1030524238-3,362-1580-401-3-E
EYLÜL-Adıvar-1030524894-3,362-1581-402-3-K
ORHAN-Ertürk-1030522526-3,36-1585-403-3-E
DİLEK-Tahincioğlu-1030524212-3,358-1588-404-3-K
NAZİK-Özdoğan-1030522933-3,356-1595-405-3-K
NECLA-Gümüşpala-1030523401-3,355-1596-406-3-K
YONCA-Karaer-1030523316-3,353-1600-407-3-K
PELİN-Çetiner-1030523736-3,351-1604-408-3-K
VOLKAN-Topçuoğlu-1030524161-3,349-1610-409-3-E
SULTAN-Dalkıran-1030524240-3,349-1611-410-3-K
ERKAN-Akışık-1030524004-3,348-1614-411-3-E
SUZAN-Orbay-1030522675-3,346-1617-412-3-K
YAHYA-Orbay-1030522665-3,344-1621-413-3-E
DİDEM-Tekand-1030523857-3,34-1629-414-3-K
HANDAN-Yıldızoğlu-1030522752-3,338-1635-415-3-K
AHSEN-Kurutluoğlu-1030523168-3,334-1644-416-3-K
BERAT-Düşenkalkar-1030524337-3,331-1649-417-3-E
EYLÜL-Erbulak-1030523647-3,33-1652-418-3-K
DİLAVER-Kunt-1030523447-3,328-1658-419-3-E
ERSİN-Gümüşpala-1030524854-3,328-1659-420-3-E
CANER-Babaoğlu-1030522976-3,325-1666-421-3-E
DESTAN-Bolatlı-1030522885-3,324-1669-422-3-K
EMİNE-Elmastaşoğlu-1030522950-3,322-1677-423-3-K
EMİNE-Tüzün-1030524950-3,321-1681-424-3-K
BERFİN-Tahincioğlu-1030523977-3,32-1684-425-3-K
DURAN-Polat-1030522672-3,319-1687-426-3-E
OSMAN-Doğan -1030524347-3,318-1689-427-3-E
SEFA-Hamzaoğlu-1030524214-3,316-1694-428-3-E
ESAT-Hakyemez-1030524723-3,314-1697-429-3-E
CEM-Çatalbaş-1030523741-3,312-1700-430-3-E
FURKAN-Beşerler-1030522759-3,311-1702-431-3-E
BAŞARAN-Barbarosoğlu-1030524744-3,311-1703-432-3-E
EMİR-Yıldırım -1030523854-3,31-1705-433-3-E
İZZET-Kurutluoğlu-1030523471-3,306-1714-434-3-E
ANIL-Özbey-1030523947-3,306-1715-435-3-E
ECEM-Dağdaş-1030524612-3,303-1722-436-3-K
TUĞRAN-Süleymanoğlu-1030522931-3,298-1733-437-3-E
FATMA-Kaya -1030524472-3,294-1741-438-3-K
MEHTAP-Ekşioğlu-1030524285-3,293-1744-439-3-K
SELİN-Ağaoğlu-1030524386-3,293-1745-440-3-K
DİLAN-Özdenak-1030522901-3,291-1747-441-3-K
ÖZGÜL-Solmaz-1030523199-3,291-1748-442-3-K
VOLKAN-Hakyemez-1030524512-3,291-1749-443-3-E
CANAN-Kulaksızoğlu-1030523270-3,29-1752-444-3-K
ÇİCEK-Topçuoğlu-1030523618-3,29-1753-445-3-K
FERİHA-Uluhan-1030523340-3,289-1757-446-3-K
AYÇA-Çetin-1030524887-3,285-1763-447-3-K
GÜRBÜZ-Durmaz-1030522705-3,284-1765-448-3-E
VOLKAN-Kılıççı-1030522701-3,279-1773-449-3-E
NUR-Önür-1030523287-3,279-1774-450-3-K
YÜSRA-Adal-1030523536-3,277-1778-451-3-K
CENGİZ-Elçiboğa-1030523635-3,277-1779-452-3-E
LATİFE-Aclan-1030522850-3,276-1784-453-3-K
PINAR-Kumcuoğlu-1030522522-3,274-1791-454-3-K
MECNUN-Bolatlı-1030522784-3,272-1797-455-3-E
SEYYİD-Bolatlı-1030522828-3,271-1800-456-3-E
ALİSA-Koçyiğit-1030524826-3,271-1801-457-3-K
DEMET-Egeli-1030522800-3,267-1806-458-3-K
NERGİS-Taşlı-1030524441-3,267-1807-459-3-K
