GÖKHAN-Hamzaoğlu-1030520000-2,004-0-0-4-E
SEZER-Doğan -1030520072-3,327-0-0-4-E
NERGİS-Baturalp-1030520073-2,757-0-0-4-K
BERAT-Topaloğlu-1030520074-3,356-0-0-4-E
FERİHA-Özdoğan-1030520075-2,378-0-0-4-K
FERHAN-Yorulmaz-1030520076-1,029-0-0-4-K
HAMZA-Koçyiğit-1030520077-2,953-0-0-4-E
ONUR-Baturalp-1030520078-1,704-0-0-4-E
HÜMEYRA-Tekand-1030520079-3,215-0-0-4-K
EYŞAN-Önür-1030520080-3,617-0-0-4-K
ÇAĞRI-Durak -1030520081-1,437-0-0-4-E
LATİFE-Özberk-1030520082-1,98-0-0-4-K
ÇAĞRI-Keçeci-1030520083-1,924-0-0-4-E
ESMA-Ağaoğlu-1030520084-3,945-0-0-4-K
GÜLÇİN-Akgül-1030520085-1,537-0-0-4-K
HALUK-Adan-1030520086-3,532-0-0-4-E
TAYFUN-Nalbantoğlu-1030520087-1,162-0-0-4-E
AHU-Uca-1030520088-0,355-0-0-4-K
FATİH-Günday-1030520089-2,121-0-0-4-E
AYLİN-Sözeri-1030520090-1,495-0-0-4-K
TAYFUR-Ertürk-1030520091-3,385-0-0-4-E
EFE-Aclan-1030520092-1,895-0-0-4-E
NELİS-Okumuş-1030520093-0,458-0-0-4-K
MUHAMMED-Paksüt-1030520094-2,246-0-0-4-E
DİLRUBA-Erbulak-1030520095-1,358-0-0-4-K
NECLA-Arıcan-1030520096-3,489-0-0-4-K
ERSİN-Sezek-1030520097-2,954-0-0-4-E
ASLIHAN-Adıvar-1030520098-2,666-0-0-4-K
ÖZKAN-Okumuş-1030520099-3,264-0-0-4-E
GÜLÇİN-Sepetçi-1030520100-3,26-0-0-4-K
DERYA-Velioğlu-1030520101-1,745-0-0-4-K
CAFE-Sezek-1030520102-0,156-0-0-4-E
CAFER-Elmastaşoğlu-1030520103-0,48-0-0-4-E
PELİN-Aybar-1030520104-2,984-0-0-4-K
DİLEK-Taşlı-1030520105-1,922-0-0-4-K
EREN-Pekkan-1030520106-0,359-0-0-4-E
İSMAİL-Adan-1030520107-0,449-0-0-4-E
DİLAVER-Ekici-1030520108-3,478-0-0-4-E
AHSEN-Sandalcı-1030520109-0,342-0-0-4-K
DUYGU-Balcı-1030520110-2,433-0-0-4-K
SEFANUR-Erez-1030520111-0,963-0-0-4-K
DİLEK-Günday-1030520112-0,252-0-0-4-K
LEYLA-Kulaksızoğlu-1030520113-0,495-0-0-4-K
ÇAĞRI-Sarıoğlu-1030520114-2,462-0-0-4-E
KÜRŞAD-Ilıcalı-1030520115-0,086-0-0-4-E
ESEN-Kasapoğlu-1030520116-1,356-0-0-4-K
HABİBE-Abadan-1030520117-1,59-0-0-4-K
SEFA-Karaböcek-1030520118-2,584-0-0-4-E
HAKAN-Kahveci-1030520119-3,321-0-0-4-E
BİLGE-Akışık-1030520120-0,942-0-0-4-K
GÖNÜL-Ozansoy-1030520121-2,691-0-0-4-K
YELİZ-Yılmazer-1030520122-2,183-0-0-4-K
İLYA-Solmaz-1030520123-1,706-0-0-4-K
OKTAY-Adan-1030520124-0,002-0-0-4-E
İBRAHİM-Erginsoy-1030520125-3,11-0-0-4-E
NEŞE-Pektemek-1030520126-3,929-0-0-4-K
FERHAN-Babacan-1030520127-2,194-0-0-4-K
MİHRİBAN-Aclan-1030520128-2,857-0-0-4-K
ERTUĞRUL-Sinanoğlu-1030520129-0,671-0-0-4-E
EFEKAN-Dalkıran-1030520130-2,897-0-0-4-E
FAHRİ-Kılıççı-1030520131-1,568-0-0-4-E
NAZİFE-Elmastaşoğlu-1030520132-2,503-0-0-4-K
DOĞUKAN-Özbey-1030520133-1,336-0-0-4-E
HALİME-Özkök -1030520134-0,471-0-0-4-K
AFŞIN-Nalbantoğlu-1030520135-1,984-0-0-4-E
ŞEYDA-Yılmazer-1030520136-2,881-0-0-4-K
CANAN-Topaloğlu-1030520137-0,405-0-0-4-K
RUKİYE-Dizdar -1030520138-3,698-0-0-4-K
MERAL-Koçyiğit-1030520139-0,469-0-0-4-K
BUSE-Aybar-1030520140-0,654-0-0-4-K
RUKİYE-Topaloğlu-1030520141-3,4-0-0-4-K
BERKAN-Özbey-1030520142-2,469-0-0-4-E
EFE-Yılmazer-1030520143-2,076-0-0-4-E
MERT-Koçyiğit-1030520144-2,162-0-0-4-E
AYLİN-Sinanoğlu-1030520145-0,878-0-0-4-K
TEVFİK-Akman-1030520146-2,741-0-0-4-E
DEMET-Pekkan-1030520147-3,341-0-0-4-K
VEYSEL-Ayverdi-1030520148-0,123-0-0-4-E
GÜRBÜZ-Koç-1030520149-1,184-0-0-4-E
MELEK-Alyanak-1030520150-0,827-0-0-4-K
SELİM-Korol-1030520151-2,498-0-0-4-E
BERFİN-Öztonga-1030520152-2,912-0-0-4-K
FERDA-Akbulut-1030520153-2,746-0-0-4-K
AYFER-Pekkan-1030520154-0,796-0-0-4-K
DİLRUBA-Sepetçi-1030520155-2,68-0-0-4-K
BAŞARAN-Doğan -1030520156-0,733-0-0-4-E
MİNE-Babacan-1030520157-0,994-0-0-4-K
ŞAHİN-Ekşioğlu-1030520158-2,546-0-0-4-E
PELİN-Çetiner-1030520159-1,986-0-0-4-K
MELİKE-Hamzaoğlu-1030520160-2,136-0-0-4-K
MELODİ-Kurutluoğlu-1030520161-2,048-0-0-4-K
ENİSE-Öztonga-1030520162-3,633-0-0-4-K
CEREN-Baturalp-1030520163-3,514-0-0-4-K
BARAN-Oraloğlu-1030520164-0,698-0-0-4-E
SERGEN-Karabulut-1030520165-2,429-0-0-4-E
NELİS-Özbey-1030520166-1,242-0-0-4-K
ESEN-Sarıoğlu-1030520167-2,299-0-0-4-K
SEFA-Körmükçü-1030520168-3,01-0-0-4-E
GÜL-Menemencioğlu-1030520169-0,958-0-0-4-K
HALUK-Öztonga-1030520170-0,812-0-0-4-E
GAMZE-Özgörkey-1030520171-2,609-0-0-4-K
HASAN-Topaloğlu-1030520172-3,729-0-0-4-E
MURAT-Erdoğan-1030520173-1,959-0-0-4-E
SEMİH-Alyanak-1030520174-1,864-0-0-4-E
FATİH-Türkdoğan-1030520175-0,756-0-0-4-E
DESTAN-Evliyaoğlu-1030520176-1,576-0-0-4-K
DOĞUKAN-Sözeri-1030520177-2,777-0-0-4-E
GÜLNAZ-Egeli-1030520178-1,763-0-0-4-K
KÜRŞAD-Hakyemez-1030520179-2,086-0-0-4-E
HÜSAMEDDİN-Kumcuoğlu-1030520180-2,747-0-0-4-E
GÖKHAN-Adan-1030520181-2,47-0-0-4-E
BUĞRA-Kıraç -1030520182-3,962-0-0-4-E
FERDANE-Adan-1030520183-2,793-0-0-4-K
HÜSEYİN-Yılmazer-1030520184-3,948-0-0-4-E
MİHRİBAN-Ağaoğlu-1030520185-1,682-0-0-4-K
GÜLÇİN-Uca-1030520186-1,262-0-0-4-K
FULYA-Hakyemez-1030520187-3,389-0-0-4-K
NAZİK-Hakyemez-1030520188-2,108-0-0-4-K
NURULLAH-Elmastaşoğlu-1030520189-2,265-0-0-4-E
GÜRBÜZ-Karadaş-1030520190-1,985-0-0-4-E
EMRE-Beşerler-1030520191-2,894-0-0-4-E
DİLAN-Akışık-1030520192-0,44-0-0-4-K
DEMET-Bolatlı-1030520193-0,89-0-0-4-K
UTKU-Orbay-1030520194-1,702-0-0-4-E
ÖZKAN-Dağdaş-1030520195-2,189-0-0-4-E
CEM-Doğan -1030520196-3,398-0-0-4-E
İPEK-Baturalp-1030520197-0,258-0-0-4-K
KALENDER-Karadaş-1030520198-3,787-0-0-4-E
İLAYDA-Erbay-1030520199-1,603-0-0-4-K
NURAN-Ertepınar-1030520200-2,431-0-0-4-K
ERDEM-Yıldırım -1030520201-2,625-0-0-4-E
HASAN-Aclan-1030520202-2,728-0-0-4-E
SEFA-Akyüz-1030520203-0,495-0-0-4-E
SEFA-Ertürk-1030520204-3,109-0-0-4-E
KADRİYE-Durak -1030520205-2,604-0-0-4-K
DENİZ-Hamzaoğlu-1030520206-0,051-0-0-4-K
HALİT-Ağaoğlu-1030520207-2,487-0-0-4-E
SENEM-Velioğlu-1030520208-3,755-0-0-4-K
ECENUR-Kılıççı-1030520209-1,082-0-0-4-K
EYLÜL-Çetiner-1030520210-3,429-0-0-4-K
ATAKAN-Elmastaşoğlu-1030520211-2,338-0-0-4-E
BERRE-Dağdaş-1030520212-1,303-0-0-4-K
MELİSA-Paksüt-1030520213-0,15-0-0-4-K
BEKİR-Keçeci-1030520214-0,703-0-0-4-E
HİKMET-Tunaboylu-1030520215-2,895-0-0-4-E
İREM-Ilıcalı-1030520216-2,304-0-0-4-K
VOLKAN-Tanrıkulu-1030520217-3,822-0-0-4-E
ONUR-Arıcan-1030520218-0,967-0-0-4-E
MİRAY-Dağdaş-1030520219-1,301-0-0-4-K
SELÇUK-Türkdoğan-1030520220-2,363-0-0-4-E
AYŞE-Akgül-1030520221-1,342-0-0-4-K
HİLMİ-Akaydın-1030520222-0,35-0-0-4-E
NEHİR-Kılıççı-1030520223-3,291-0-0-4-K
BAHADIR-Çamdalı-1030520224-3,513-0-0-4-E
FERHAN-Sezek-1030520225-0,367-0-0-4-K
HALUK-Taşlı-1030520226-0,395-0-0-4-E
İZZET-Özbey-1030520227-2,124-0-0-4-E
TAHSİN-Gönültaş-1030520228-3,174-0-0-4-E
HİLMİ-Özdoğan-1030520229-2,72-0-0-4-E
DİLBERAYELA-Çatalbaş-1030520230-2,848-0-0-4-K
SÜMEYRA-Çetiner-1030520231-1,968-0-0-4-K
AYSU-Tekelioğlu-1030520232-3,186-0-0-4-K
RUKİYE-Küçükler-1030520233-3,737-0-0-4-K
BİLGEHAN-Poçan-1030520234-0,152-0-0-4-K
BAKİ-Çağıran-1030520235-3,643-0-0-4-E
ESRA-Sarıoğlu-1030520236-0,622-0-0-4-K
MUSTAFA-Öztonga-1030520237-1,694-0-0-4-E
GAMZE-Elmastaşoğlu-1030520238-3,454-0-0-4-K
FULYA-Adal-1030520239-0,066-0-0-4-K
SELÇUK-Yılmazer-1030520240-3,778-0-0-4-E
BAHADIR-Yalçın-1030520241-3,384-0-0-4-E
MİHRİBAN-Gönültaş-1030520242-0,164-0-0-4-K
GONCA-Erkekli-1030520243-3,869-0-0-4-K
MEHTAP-Arslanoğlu-1030520244-0,064-0-0-4-K
FAİK-Kocabıyık-1030520245-1,664-0-0-4-E
AŞİYAN-Sezek-1030520246-1,314-0-0-4-K
DERVİŞ-Bademci-1030520247-0,634-0-0-4-E
VEYSEL-Elmastaşoğlu-1030520248-2,912-0-0-4-E
MUHAMMED-Tanrıkulu-1030520249-0,581-0-0-4-E
ESAT-Mayhoş-1030520250-0,547-0-0-4-E
TAYFUN-Korol-1030520251-0,303-0-0-4-E
AYSU-Ertürk-1030520252-1,359-0-0-4-K
BÜŞRA-Taşçı-1030520253-0,441-0-0-4-K
CEREN-Kocabıyık-1030520254-2,761-0-0-4-K
DİLEK-Pekkan-1030520255-2,792-0-0-4-K
ELÇİN-Pektemek-1030520256-0,955-0-0-4-K
CANER-Kurutluoğlu-1030520257-1,627-0-0-4-E
DİLBERAYELA-Yalçın-1030520258-2,347-0-0-4-K
TUĞBA-Kuzucu-1030520259-1,905-0-0-4-K
HÜMEYRA-Karadaş-1030520260-3,895-0-0-4-K
DİLRUBA-Topçuoğlu-1030520261-0,587-0-0-4-K
YASEMİN-Orbay-1030520262-1,06-0-0-4-K
TOPRAK-Beşerler-1030520263-3,168-0-0-4-E
HÜSAMEDDİN-Kocabıyık-1030520264-2,808-0-0-4-E
ÇİCEK-Tunaboylu-1030520265-0,403-0-0-4-K
İLAYDA-Atakol-1030520266-0,921-0-0-4-K
FAHRİ-Tokatlıoğlu-1030520267-2,79-0-0-4-E
ASLIHAN-Özkök -1030520268-3,857-0-0-4-K
ANIL-Ertürk-1030520269-0,831-0-0-4-E
ŞAHİN-Eronat-1030520270-2,544-0-0-4-E
İSMAİL-Aybar-1030520271-3,562-0-0-4-E
METEHAN-Akgül-1030520272-3,465-0-0-4-E
SEYYİD-Hakyemez-1030520273-0,036-0-0-4-E
ŞEYMANUR-Koç-1030520274-2,96-0-0-4-K
MEHMET-Babacan-1030520275-3,408-0-0-4-E
NURULLAH-Kocabıyık-1030520276-1,875-0-0-4-E
FERHAN-Kılıççı-1030520277-2,737-0-0-4-K
NAZİK-Egeli-1030520278-3,743-0-0-4-K
MUSTAFA-Akal-1030520279-0,493-0-0-4-E
İNCİ-Özdoğan-1030520280-1,133-0-0-4-K
NECLA-Adal-1030520281-2,721-0-0-4-K
AYLİN-Atakol-1030520282-2,763-0-0-4-K
EMRULLAH-Akal-1030520283-1,898-0-0-4-E
ASLIM-Baturalp-1030520284-0,106-0-0-4-K
HİLMİ-Topçuoğlu-1030520285-3,935-0-0-4-E
ERSİN-Bakırcıoğlu-1030520286-0,081-0-0-4-E
KAAN-Baykam-1030520287-2,624-0-0-4-E
SALİH-Öztuna-1030520288-2,664-0-0-4-E
FATİH-Doğan -1030520289-2,526-0-0-4-E
UMUT-Kunt-1030520290-3,717-0-0-4-E
ÖZGÜR-Topaloğlu-1030520291-1,746-0-0-4-E
ONUR-Aybar-1030520292-2,341-0-0-4-E
AYÇA-Özbey-1030520293-2,792-0-0-4-K
YILDIZ-Berberoğlu-1030520294-0,258-0-0-4-K
ANIL-Ozansoy-1030520295-3,057-0-0-4-E
TAYFUN-Ilıcalı-1030520296-3,729-0-0-4-E
SEYYİD-Tütüncü-1030520297-0,916-0-0-4-E
HİKMET-Polat-1030520298-2,262-0-0-4-E
MEHMET-Küçükler-1030520299-0,517-0-0-4-E
ŞAHİN-Ekici-1030520300-1,306-0-0-4-E
NİMET-Erberk-1030520301-1,123-0-0-4-K
HAZİM-Atakol-1030520302-0,963-0-0-4-E
HATİCE-Durak -1030520303-3,083-0-0-4-K
HABİBE-Ekici-1030520304-3,858-0-0-4-K
SENEM-Ertürk-1030520305-2,992-0-0-4-K
ESAT-Hamzaoğlu-1030520306-3,713-0-0-4-E
HİLMİ-Yalçın-1030520307-2,51-0-0-4-E
FAHRİ-Mertoğlu-1030520308-3,115-0-0-4-E
ILGIN-Uca-1030520309-3,89-0-0-4-K
MERVE-Okumuş-1030520310-2,662-0-0-4-K
OSMAN-Orbay-1030520311-1,102-0-0-4-E
HAYAL-Baturalp-1030520312-0,5-0-0-4-K
HALİT-Kahveci-1030520313-2,363-0-0-4-E
BURAK-Nebioğlu-1030520314-3,632-0-0-4-E
ÇETİN-Önür-1030520315-3,726-0-0-4-E
AHSEN-Korol-1030520316-2,326-0-0-4-K
HALİL-Okumuş-1030520317-2,889-0-0-4-E
ONUR-Atakol-1030520318-2,253-0-0-4-E
ASLIHAN-Paksüt-1030520319-1,205-0-0-4-K
VEYSEL-Egeli-1030520320-2,064-0-0-4-E
NEŞE-Tanrıkulu-1030520321-2,271-0-0-4-K
EMRE-Koç-1030520322-1,786-0-0-4-E
KEMAL-Kavaklıoğlu-1030520323-2,26-0-0-4-E
BAKİ-Koçoğlu-1030520324-3,477-0-0-4-E
AKIN-Adal-1030520325-0,923-0-0-4-E
HAZAN-Gönültaş-1030520326-2,132-0-0-4-K
CİVAN-Akay-1030520327-3,013-0-0-4-E
BERRE-Aykaç-1030520328-0,616-0-0-4-K
NAZİK-Akışık-1030520329-1,736-0-0-4-K
CEM-Aşıkoğlu-1030520330-3,372-0-0-4-E
ARİF-Arıcan-1030520331-3,993-0-0-4-E
YELİZ-Kunter-1030520332-1,012-0-0-4-K
ASLIM-Akışık-1030520333-0,215-0-0-4-K
AYŞE-Doğan -1030520334-3,918-0-0-4-K
CANER-Erbulak-1030520335-2,449-0-0-4-E
ÇİLENAY-Doğan -1030520336-2,945-0-0-4-K
TAHA-Pektemek-1030520337-3,316-0-0-4-E
ŞEYMA-Atakol-1030520338-2,731-0-0-4-K
SAİD-Tekand-1030520339-0,354-0-0-4-E
HASAN-Ertürk-1030520340-1,31-0-0-4-E
İREM-Taşlı-1030520341-0,558-0-0-4-K
ARİF-Erbay-1030520342-2,505-0-0-4-E
MERVE-Berberoğlu-1030520343-0,997-0-0-4-K
İBRAHİM-Erdoğan-1030520344-1,432-0-0-4-E
CEYDA-Atakol-1030520345-0,288-0-0-4-K
NECLA-Tuğlu-1030520346-2,069-0-0-4-K
NİHAL-Abadan-1030520347-2,315-0-0-4-K
DESTAN-Aşıkoğlu-1030520348-1,146-0-0-4-K
BATUHAN-Kutlay-1030520349-1,107-0-0-4-E
MEHTAP-Tekand-1030520350-2,636-0-0-4-K
MUSTAFA-Bakırcıoğlu-1030520351-1,771-0-0-4-E
KADİR-Nebioğlu-1030520352-2,256-0-0-4-E
HİKMET-Erginsoy-1030520353-3,389-0-0-4-E
ANIL-Kunt-1030520354-0,072-0-0-4-E
MAHMURE-Kunter-1030520355-3,676-0-0-4-K
FAZİLET-Arıcan-1030520356-3,791-0-0-4-K
FULYA-Akbulut-1030520357-0,239-0-0-4-K
CİVAN-Kahveci-1030520358-1,58-0-0-4-E
METEHAN-Günday-1030520359-2,907-0-0-4-E
SAİD-Öztonga-1030520360-0,948-0-0-4-E
CANAN-Yılmazer-1030520361-3,869-0-0-4-K
ÇİLENAY-Akman-1030520362-1,943-0-0-4-K
RÜMEYSA-Sarıoğlu-1030520363-1,465-0-0-4-K
HİLMİ-Kumcuoğlu-1030520364-2,684-0-0-4-E
SAMET-Yıldırım -1030520365-2,017-0-0-4-E
YAHYA-Gönültaş-1030520366-0,815-0-0-4-E
UTKU-Ilıcalı-1030520367-1,584-0-0-4-E
ASLIM-Paksüt-1030520368-1,937-0-0-4-K
OSMAN-Ertürk-1030520369-0,833-0-0-4-E
HALDUN-Bakırcıoğlu-1030520370-3,887-0-0-4-E
ÇİLAY-Kutlay-1030520371-1,359-0-0-4-K
YUNUSHAN-Ekici-1030520372-3,732-0-0-4-E
MERT-Topaloğlu-1030520373-0,216-0-0-4-E
DOĞUKAN-Özbir-1030520374-1,448-0-0-4-E
FAİK-Hakyemez-1030520375-3,249-0-0-4-E
ÇAĞLAR-Topaloğlu-1030520376-0,338-0-0-4-E
HÜSEYİN-Tunaboylu-1030520377-0,453-0-0-4-E
BURHAN-Koç-1030520378-2,546-0-0-4-E
HAZAN-Okumuş-1030520379-3,085-0-0-4-K
HAKAN-Sarıoğlu-1030520380-0,057-0-0-4-E
AHENK-Alyanak-1030520381-0,032-0-0-4-K
DENİZ-Ayaydın-1030520382-1,626-0-0-4-E
ŞAHİN-Alnıaçık-1030520383-3,878-0-0-4-E
ERSİN-Arslanoğlu-1030520384-1,686-0-0-4-E
SALİH-Taşçı-1030520385-1,048-0-0-4-E
HAMZA-Hamzaoğlu-1030520386-0,861-0-0-4-E
BERRE-Babacan-1030520387-2,312-0-0-4-K
NURULLAH-Atan-1030520388-1,837-0-0-4-E
FAHRİ-Barbarosoğlu-1030520389-2,15-0-0-4-E
CUMAALİ-Kunter-1030520390-2,801-0-0-4-E
CANTEKİN-Karaböcek-1030520391-2,897-0-0-4-E
GÜL-Taşçı-1030520392-1,071-0-0-4-K
YAHYA-Erginsoy-1030520393-3,543-0-0-4-E
ASLIHAN-Hamzaoğlu-1030520394-1,993-0-0-4-K
İBRAHİM-Türkdoğan-1030520395-2,906-0-0-4-E
İBRAHİM-Koç-1030520396-0,992-0-0-4-E
VOLKAN-Baykam-1030520397-1,678-0-0-4-E
VEYSEL-Türkyılmaz-1030520398-2,604-0-0-4-E
TUĞBA-Öztonga-1030520399-0,807-0-0-4-K
HALDUN-Kunter-1030520400-0,494-0-0-4-E
FAHRİ-Çapanoğlu-1030520401-3,788-0-0-4-E
VEYSEL-Durmaz-1030520402-3,214-0-0-4-E
FAZİLET-Pekkan-1030520403-3,697-0-0-4-K
EREN-Kasapoğlu-1030520404-2,096-0-0-4-E
AHU-Eronat-1030520405-1,619-0-0-4-K
İLYA-Uluhan-1030520406-2,793-0-0-4-K
RABİA-Akbulut-1030520407-2,207-0-0-4-K
BÜLENT-Karaböcek-1030520408-0,807-0-0-4-E
İPEK-Avan-1030520409-2,1-0-0-4-K
ŞEVVAL-Demirbaş-1030520410-0,633-0-0-4-K
FERDA-Ilıcalı-1030520411-2,326-0-0-4-K
AHSEN-Kaya -1030520412-2,156-0-0-4-K
UTKU-Oraloğlu-1030520413-2,664-0-0-4-E
NERGİS-Alnıaçık-1030520414-0,022-0-0-4-K
YEŞİM-Kocabıyık-1030520415-1,784-0-0-4-K
ŞERİFE-Baturalp-1030520416-3,628-0-0-4-K
VEYSEL-Bolatlı-1030520417-2,926-0-0-4-E
BAHADIR-Akman-1030520418-0,851-0-0-4-E
BÜŞRA-Akgül-1030520419-0,553-0-0-4-K
EMRE-Hamzaoğlu-1030520420-1,805-0-0-4-E
BURHAN-Tokgöz-1030520421-2,506-0-0-4-E
ERSİN-Özbir-1030520422-3,542-0-0-4-E
AFŞIN-Samancı-1030520423-0,125-0-0-4-E
TAYFUR-Poyrazoğlu-1030520424-3,099-0-0-4-E
CANER-Çatalbaş-1030520425-2,006-0-0-4-E
HÜSAMEDDİN-Evliyaoğlu-1030520426-1,283-0-0-4-E
ERKAN-Kulaksızoğlu-1030520427-1,868-0-0-4-E
ÖZGÜR-Öztonga-1030520428-2,592-0-0-4-E
CEYLİN-Adal-1030520429-0,681-0-0-4-K
GÜLDESTE-Ilıcalı-1030520430-3,615-0-0-4-K
DİLAN-Adal-1030520431-3,079-0-0-4-K
ÇAĞATAY-Kurutluoğlu-1030520432-1,449-0-0-4-E
GAYE-Tüzün-1030520433-2,281-0-0-4-K
HİLMİ-Durak -1030520434-2,025-0-0-4-E
ECENUR-Tokgöz-1030520435-2,744-0-0-4-K
HANDAN-Kavaklıoğlu-1030520436-3,947-0-0-4-K
YEŞİM-Özgörkey-1030520437-2,388-0-0-4-K
BATUHAN-Çatalbaş-1030520438-1,937-0-0-4-E
YAHYA-Hamzaoğlu-1030520439-0,365-0-0-4-E
TAYFUR-Karaböcek-1030520440-2,119-0-0-4-E
KADİR-Karaböcek-1030520441-2,378-0-0-4-E
EKREM-Alyanak-1030520442-2,346-0-0-4-E
FATİH-Ilıcalı-1030520443-1,474-0-0-4-E
CUMA-Adıvar-1030520444-2,023-0-0-4-E
DAMLA-Kahveci-1030520445-1,26-0-0-4-K
LEYLA-Tokatlıoğlu-1030520446-3,571-0-0-4-K
ELİF-Türkyılmaz-1030520447-0,332-0-0-4-K
DİLEK-Nalbantoğlu-1030520448-1,055-0-0-4-K
SİNAN-Kavaklıoğlu-1030520449-0,45-0-0-4-E
MÜGE-Balaban-1030520450-3,751-0-0-4-K
VOLKAN-Akaydın-1030520451-2,982-0-0-4-E
HALDUN-Tahincioğlu-1030520452-3,804-0-0-4-E
ŞEVVAL-Alyanak-1030520453-2,242-0-0-4-K
GÜLBEN-Korol-1030520454-0,374-0-0-4-K
DAMLA-Baykam-1030520455-3,65-0-0-4-K
CANSU-Türkyılmaz-1030520456-1,754-0-0-4-K
GÖKHAN-Atan-1030520457-1,305-0-0-4-E
ÖZGÜL-Hamzaoğlu-1030520458-3,183-0-0-4-K
HANDAN-Baykam-1030520459-0,283-0-0-4-K
SEYYİD-Dağlaroğlu-1030520460-2,886-0-0-4-E
ÇAĞATAY-Tunçeri-1030520461-0,946-0-0-4-E
EYLÜL-Alyanak-1030520462-1,004-0-0-4-K
ÖZGÜL-Ilıcalı-1030520463-3,798-0-0-4-K
GÜLBEN-Abacı-1030520464-0,781-0-0-4-K
